period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o01-base_sapporo,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o02-low_sapporo,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o03-high_sapporo,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o04-none_sapporo
0.1,0.0018116633882232,0.0014703180211737,0.002161818762364,0.0018762451038553,0.0014517424422589,0.0021697738347223,0.0018116633882232,0.0014494469408537,0.002164489866083,0.0018077112069008,0.0014282209710399,0.0021385720567896
0.2,0.006676237445552,0.0033563584438894,0.0082261917934718,0.0069074310813767,0.0033226973715341,0.0082615626307798,0.006676237445552,0.0033147472714121,0.008238359382486,0.0067210853287894,0.0031998634856358,0.0079266309205022
0.5,0.0325134400603751,0.0114051729268345,0.0375783284633093,0.0320361671086808,0.0113058140703104,0.0373264004152363,0.0325134400603751,0.0112879803153955,0.0375013527514187,0.0324075181531334,0.0123442388143457,0.0378891981274402
1.0,0.0672842463709586,0.020881240599624,0.0584119208648684,0.0676989770498296,0.0208865346653825,0.0578864439611943,0.0672842463709586,0.0208892916733907,0.0582384235789185,0.0674171138271332,0.0201340508953906,0.0611258983195356
2.0,0.0786306240944146,0.038349776956769,0.0979791370122389,0.0783017987646242,0.0383866117475148,0.0978614317030211,0.0786306240944146,0.0383953787741317,0.0979387346246483,0.0785791570507934,0.0384549976531252,0.0986678112153182
7.0,0.1368528595876521,0.078752088409856,0.1899973571143111,0.1369502477310308,0.0787544580656614,0.1900379078310812,0.1368528595876521,0.0787550466323872,0.1900110736100891,0.1368604939167687,0.0787765550431527,0.1897636948528887
14.0,0.1744349552329874,0.1182162248314752,0.2071339914228109,0.1744890555405777,0.1182034694715052,0.2072288437302929,0.1744349552329874,0.1182013147982722,0.2071657195668945,0.1744396033507479,0.1173313180165182,0.2066836711969814
30.0,0.24177866998894,0.1696295891903619,0.2571091751106982,0.2417895713176342,0.1694859993377892,0.2570526827932524,0.24177866998894,0.1694578396025094,0.257090282172104,0.2417828916009949,0.169931415116614,0.2573870198640902
90.0,1.9924639670256028,0.8856333350413159,2.3607727795297144,1.9910616381170652,0.8851758523328533,2.3611698426547316,1.9924639670256028,0.8850853717709027,2.3609058093256228,1.9922316050009363,0.8881370306263979,2.358895946244315
365.0,,,,,,,,,,,,
