period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o01-base_sapporo,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o02-low_sapporo,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o03-high_sapporo,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o04-none_sapporo
0.1,-0.6273075793024894,1.309475191985452,-0.854566776486702,-0.6258974226376324,1.3258207088661982,-0.8764062092680719,-0.6450022380794075,1.274520850261149,-0.8246457692225618,-0.7032022599775383,1.1508020940069112,-0.906371678289156
0.2,-1.0595185887893193,1.56787462334156,-1.1215640081743874,-1.036323490918126,1.5599013604228562,-1.1506084271132406,-1.1261719983778429,1.5836413409414969,-1.107895018466583,-1.0951870313740888,1.4683394084918204,-1.1592812395792125
0.5,-1.1768050861940111,1.9991295232683823,-0.95153008653684,-1.277688604233583,1.971503375693036,-0.9887741563705156,-1.161685818469259,2.1713207656710978,-0.8831546596318504,-1.2233419849876055,1.7923491361265662,-1.0187458687756188
1.0,2.954101230252447,2.045406333605799,-2.0182809284926133,2.8708423815195445,1.9985545956686912,-1.976169307196708,2.2999334468434403,2.299504458390653,-2.642711401192967,3.0454725926458543,2.3705068278861106,-1.9108665316705065
2.0,-2.9616070188970536,1.8102293634120457,-0.9421416097133182,-2.9774857862124247,1.6920562073120655,-0.9379032817761156,-2.7462729433673956,2.0329854655351514,-1.165192426109637,-2.668505548473003,1.9545972033922412,-1.094432106008967
7.0,-0.6802658625897089,-2.5775679122757387,-3.064815037552854,-0.6389288301151647,-2.695229577196504,0.989334869006662,-1.2014405372206023,3.0527212575719997,-2.256163754388933,-0.7643998003886475,-2.132766989062876,0.686448092516672
14.0,0.1801544097434742,2.7744096614002087,-2.6329221768673614,0.206413477526213,2.818678170612447,-2.4136065253445,0.4149484898000045,2.705138990934454,-3.104062769173554,-0.0282938467562918,-3.087008694652093,-2.208295339615922
30.0,-0.0978819539254127,-2.5353407626674698,-1.692932876754152,-1.173102158964641,-2.585009677329399,-1.6254875570583538,-0.3451309963530416,-2.363107880553444,-1.7178011388291057,-1.7033047923000046,-2.249413397701416,-1.4173708225612809
90.0,-2.5548215491694433,3.0195888243291815,-2.5952541628971124,-2.43437389084781,2.9003773800046364,-2.472434248915742,-2.869882506446077,2.9498553676219297,-2.6633082639162384,-2.3307076309904957,-2.934014236780331,-2.2270804243856603
365.0,,,,,,,,,,,,
