period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o01-base_sapporo,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o02-low_sapporo,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o03-high_sapporo,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o04-none_sapporo
0.1,6.473381499898706e-06,8.695153504300045e-06,1.0568833414327594e-05,5.693297786533308e-06,1.0004968890291564e-05,7.442507893044163e-06,8.775877116608377e-06,6.402786123779951e-06,1.3969960359496576e-05,3.1220233914407004e-06,2.7429741007849987e-06,3.236813017719839e-06
0.2,1.322376538280575e-05,1.7227534644744407e-05,2.216272050192281e-05,1.0648912401732487e-05,2.055180436288939e-05,1.5099425601675597e-05,2.4028184245074825e-05,1.2658231988836071e-05,3.3852490851008745e-05,3.975887593304834e-06,4.484222888480756e-06,4.383258610473694e-06
0.5,2.830886912299378e-05,3.7156289112499106e-05,5.492877805037778e-05,2.2618658554750354e-05,4.373362428820085e-05,3.810808407391487e-05,6.736739438066428e-05,3.568846685510096e-05,9.117851980183848e-05,1.4311919676791784e-05,7.940139008751526e-06,1.7223146850876556e-05
1.0,7.96869620310516e-05,7.262503937562403e-05,0.0001233662525934,6.08148954877105e-05,8.77203808185344e-05,8.108983833082382e-05,0.0002177918224377,0.0001003932475712,0.0002329874457446,3.719586668635995e-05,1.4322998773079003e-05,3.758216142404927e-05
2.0,0.0003659991402113,0.0002359451416379,0.0003309660574746,0.0001778580591252,0.0002183116181763,0.0001904770393382,0.0010949862976064,0.0006155990016258,0.0008492959140538,7.372341353124604e-05,3.75677387595539e-05,0.0001013215035115
7.0,0.0013628124921932,0.001130145355939,0.0011804661953227,0.0005127878503094,0.0006917121426808,0.0006651749386215,0.0038228220168711,0.0027302856016003,0.0029851834769749,0.000149570441457,8.578475768797026e-05,0.000209390141428
14.0,0.0011698242984818,0.0029691665375132,0.0021637419738073,0.0005759180007315,0.0017257516334526,0.00121973076079,0.0028139768602594,0.0056763981612344,0.0043246014599673,0.000186830403941,0.000128871533353,0.0002307946169201
30.0,0.0040294007989598,0.0048223760108616,0.0041415442863828,0.0021631085196832,0.0032758742347498,0.0025544154385117,0.0065758371008304,0.0070520371036844,0.0060682269981554,0.000265793182262,0.0001829526428838,0.0002980479826657
90.0,0.0126331356300834,0.0112933609888473,0.013096237096959,0.0095837591470873,0.0102949086462114,0.0103283713362153,0.0142145819165171,0.0130028404449034,0.0136552594460722,0.0021915795507154,0.0009515803624401,0.0026981012064358
365.0,,,,,,,,,,,,
