Component,cos_coeff,sin_coeff,Amplitude,Phase (radians)
inf Day,11.041668943533699,3.3429695795833663e-15,22.083337887067394,3.0275944666327823e-16
122.0 Day,0.18858651475370122,-5.241706410534202,5.245097803452506,-1.5348337617539978
1.0 Day,-2.10510883109101,-2.024677906220081,2.920753980511383,-2.375667834207933
30.5 Day,0.6691173111824493,-1.821782399796961,1.940775383277005,-1.2188046713689034
61.0 Day,-0.5165304515629259,-1.7461153983258446,1.820912598578642,-1.8584110141569763
15.25 Day,-0.7242050703734617,-1.5057902533934158,1.6708911607789532,-2.0190855594144153
13.56 Day,-0.11466781940014502,-1.5823697555651166,1.5865190676866103,-1.6431357598061822
24.4 Day,-0.8298822358863837,-1.2918191748042536,1.535415678515667,-2.1418199167357708
7.18 Day,0.37543630131837585,-1.0675335862954793,1.131627312420706,-1.2326205562934534
9.38 Day,-0.631394534560624,-0.7840330045392312,1.0066612193185158,-2.248770500859143
7.62 Day,-0.6668488949198033,-0.6771933391282079,0.9504095260546238,-2.348498124931033
6.1 Day,0.4411625642947473,-0.7154882229465784,0.840563980497838,-1.0182678459113428
20.33 Day,-0.5531254040410626,-0.6222840788139989,0.8325774362430056,-2.297424304773366
12.2 Day,0.513951274039051,-0.6125027993030155,0.7995658767358659,-0.8726642417621148
5.55 Day,-0.4949980433229845,-0.574207879779504,0.7581146035359407,-2.2822467110764726
17.43 Day,-0.369622700747153,-0.5710279771827362,0.6802160624632639,-2.1452665610109425
0.5 Day,0.5458015573869393,0.23801080363372212,0.595439738926097,0.41121434999276
10.17 Day,0.13926156221285843,-0.5395579336160621,0.5572401156036783,-1.3182058993561256
3.7 Day,0.3298324143139981,-0.36101996280056897,0.48900392132653203,-0.8305111126203255
4.52 Day,0.21497155532462744,-0.3993762428404032,0.45355722124557346,-1.0770048050907064
2.54 Day,0.034790739136820396,-0.4461498566863863,0.44750429065090463,-1.492973874400209
3.13 Day,0.18394089228352606,-0.4041803869216957,0.4440676041170211,-1.1437126237629482
11.09 Day,0.43714976782310083,0.07035502887530144,0.44277505529990674,0.15957198806357617
4.69 Day,-0.15658602072610514,-0.40808353740281145,0.43709421797368586,-1.9371818222596027
5.3 Day,0.32503941672459236,-0.2910723954815913,0.4363184179427395,-0.7303226569078778
3.94 Day,-0.39187327418465334,-0.17431404920434992,0.4288939854675244,-2.723052673076224
4.88 Day,0.28430366767232956,-0.30035130850316993,0.4135692009464737,-0.8128393265300272
3.39 Day,0.08509142716318618,-0.3790752777235791,0.38850819445396056,-1.3499853997910674
3.59 Day,-0.353874760905246,-0.026904108226115615,0.35489600933961984,-3.0657114273410655
2.77 Day,-0.16411556024036236,-0.31143148151561123,0.3520276761733607,-2.0557877048179667
2.18 Day,0.15630633180548625,-0.29123861426067993,0.3305322976638862,-1.0782253768551218
1.79 Day,-0.093427042498847,-0.30789990773038145,0.3217622809629164,-1.865399827192885
3.3 Day,0.19487567349169316,-0.25467982742065665,0.32068417892664497,-0.9176511803954093
2.9 Day,6.897446369288646e-05,-0.3185909013552872,0.3185909088217223,-1.5705798282623842
8.13 Day,-0.1255132530418945,-0.2904551658738582,0.3164139378598375,-1.9786873139188352
3.05 Day,0.08481568411692053,0.29333931114478373,0.30535496022681125,1.2893337697343066
2.22 Day,-0.14763401893526795,-0.2668640528017738,0.3049790586659467,-2.0761068747732834
40.67 Day,-0.2758447845852625,-0.12219558924850127,0.30169870270632304,-2.724586218294175
1.69 Day,-0.1085751591993272,-0.2753052755468569,0.2959418185033843,-1.946449339115867
6.42 Day,0.29014580242483134,0.03509139730240307,0.29226014581085863,0.12035943266942546
1.33 Day,-0.006976903110788817,-0.28700496764984595,0.2870897571016884,-1.5951008861709584
2.6 Day,0.12596295915231076,-0.2513189259006293,0.2811189598626402,-1.1061830934984234
1.08 Day,0.19374651485006483,0.2028161472295752,0.2804854748353203,0.808264793079795
1.26 Day,-0.054557188466069974,-0.2727762654279092,0.27817867961818976,-1.768198708866773
6.78 Day,-0.12493897866101478,-0.24750903525444506,0.27725524507472105,-2.0382650239524174
2.84 Day,0.25391351124861583,-0.09863375434230703,0.2723980335653316,-0.3705135952177473
1.39 Day,-0.20812718538012057,0.17565823131579927,0.27234672666152226,2.4405953517841747
5.81 Day,0.1972074172619752,-0.1878334744650144,0.27234569861251345,-0.7610576538691668
5.08 Day,-0.09427805822200164,-0.2489004678722103,0.2661574631099348,-1.9328752245386946
0.98 Day,-0.0655014706405328,-0.2572823233484693,0.26548942834632583,-1.8200901709398962
2.26 Day,0.2542670244344406,-0.059618520609657125,0.2611629524155915,-0.23031161958806903
