セル番号,セル幅,材料名称,温度,相対湿度,含水率,水分化学ポテンシャル
-,-,-,℃,%,kg/kg,J/kg
i,dx,material_name,temp,rh,phi,miu
1,0.0005,plywood,20,60,,
2,0.001,plywood,20,60,,
3,0.001,plywood,20,60,,
4,0.0005,plywood,20,60,,
5,0.0005,mud_wall,20,60,,
6,0.001,mud_wall,20,60,,
7,0.001,mud_wall,20,60,,
8,0.001,mud_wall,20,60,,
9,0.001,mud_wall,20,60,,
10,0.001,mud_wall,20,60,,
11,0.01,mud_wall,20,60,,
12,0.001,mud_wall,20,60,,
13,0.001,mud_wall,20,60,,
14,0.001,mud_wall,20,60,,
15,0.001,mud_wall,20,60,,
16,0.001,mud_wall,20,60,,
17,0.001,mud_wall,20,60,,
18,0.001,mud_wall,20,60,,
19,0.001,mud_wall,20,60,,
20,0.001,mud_wall,20,60,,
21,0.001,mud_wall,20,60,,
22,0.001,mud_wall,20,60,,
23,0.001,mud_wall,20,60,,
24,0.001,mud_wall,20,60,,
25,0.001,mud_wall,20,60,,
26,0.001,mud_wall,20,60,,
27,0.001,mud_wall,20,60,,
28,0.001,mud_wall,20,60,,
29,0.001,mud_wall,20,60,,
30,0.001,mud_wall,20,60,,
31,0.001,mud_wall,20,60,,
32,0.001,mud_wall,20,60,,
33,0.001,mud_wall,20,60,,
34,0.001,mud_wall,20,60,,
35,0.001,mud_wall,20,60,,
36,0.001,mud_wall,20,60,,
37,0.001,mud_wall,20,60,,
38,0.001,mud_wall,20,60,,
39,0.001,mud_wall,20,60,,
40,0.001,mud_wall,20,60,,
41,0.001,mud_wall,20,60,,
42,0.001,mud_wall,20,60,,
43,0.001,mud_wall,20,60,,
44,0.001,mud_wall,20,60,,
45,0.001,mud_wall,20,60,,
46,0.001,mud_wall,20,60,,
47,0.001,mud_wall,20,60,,
48,0.001,mud_wall,20,60,,
49,0.001,mud_wall,20,60,,
50,0.001,mud_wall,20,60,,
51,0.001,mud_wall,20,60,,
52,0.001,mud_wall,20,60,,
53,0.001,mud_wall,20,60,,
54,0.001,mud_wall,20,60,,
55,0.001,mud_wall,20,60,,
56,0.001,mud_wall,20,60,,
57,0.001,mud_wall,20,60,,
58,0.001,mud_wall,20,60,,
59,0.001,mud_wall,20,60,,
60,0.001,mud_wall,20,60,,
61,0.001,mud_wall,20,60,,
62,0.001,mud_wall,20,60,,
63,0.001,mud_wall,20,60,,
64,0.001,mud_wall,20,60,,
65,0.0005,mud_wall,20,60,,
66,0.0005,plywood,20,60,,
67,0.001,plywood,20,60,,
68,0.001,plywood,20,60,,
69,0.001,plywood,20,60,,
70,0.001,plywood,20,60,,
71,0.001,plywood,20,60,,
72,0.001,plywood,20,60,,
73,0.001,plywood,20,60,,
74,0.001,plywood,20,60,,
75,0.001,plywood,20,60,,
76,0.001,plywood,20,60,,
77,0.001,plywood,20,60,,
78,0.0005,plywood,20,60,,
