セル番号,セル幅,質点までの距離,材料名称,温度,相対湿度,含水率,水分化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.001,0,paper,10,56,,
2,0.002,0.001,plasterboard,10,56,,
3,0.0025,0.00125,plasterboard,10,56,,
4,0.0025,0.00125,plasterboard,10,56,,
5,0.002,0.002,plasterboard,10,56,,
6,0.7,0.35,vented_air_space,10,56,,
7,0.0025,0,extruded_polystyrene,10,56,,
8,0.005,0.0025,extruded_polystyrene,10,56,,
9,0.005,0.0025,extruded_polystyrene,10,56,,
10,0.005,0.0025,extruded_polystyrene,10,56,,
11,0.0025,0.00125,extruded_polystyrene,10,56,,
12,0.0025,0.00125,concrete_goran,10,56,,
13,0.01,0.005,concrete_goran,10,56,,
14,0.01,0.005,concrete_goran,10,56,,
15,0.01,0.005,concrete_goran,10,56,,
16,0.01,0.005,concrete_goran,10,56,,
17,0.01,0.005,concrete_goran,10,56,,
18,0.01,0.005,concrete_goran,10,56,,
19,0.01,0.005,concrete_goran,10,56,,
20,0.01,0.005,concrete_goran,10,56,,
21,0.01,0.005,concrete_goran,10,56,,
22,0.01,0.005,concrete_goran,10,56,,
23,0.01,0.005,concrete_goran,10,56,,
24,0.01,0.005,concrete_goran,10,56,,
25,0.01,0.005,concrete_goran,10,56,,
26,0.0025,0.00125,concrete_goran,10,56,,
27,0.0025,0.00125,mortar,10,56,,
28,0.005,0.0025,mortar,10,56,,
29,0.005,0.0025,mortar,10,56,,
30,0.005,0.0025,mortar,10,56,,
31,0.0025,0.0025,mortar,10,56,,
