セル番号,セル幅,質点までの距離,材料名称,温度,相対湿度,含水率,水分化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.005,0,mud_wall,10,60,,
2,0.01,0.005,mud_wall,10,60,,
3,0.01,0.005,mud_wall,10,60,,
4,0.01,0.005,mud_wall,10,60,,
5,0.015,0.0075,mud_wall,10,60,,
6,0.02,0.01,mud_wall,10,60,,
7,0.03,0.015,mud_wall,10,60,,
8,0.03,0.015,mud_wall,10,60,,
9,0.02,0.01,mud_wall,10,60,,
10,0.015,0.0075,mud_wall,10,60,,
11,0.01,0.005,mud_wall,10,60,,
12,0.01,0.005,mud_wall,10,60,,
13,0.01,0.005,mud_wall,10,60,,
14,0.005,0.005,mud_wall,10,60,,
