セル番号,セル幅,中点までの距離,材料名称,温度,相対湿度,含水率,化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.0015,0,metal_plate,20,65,,
2,0.0015,0.0015,metal_plate,20,65,,
3,0.02,0.003,vented_air_space,20,65,,
4,0.02,0.023,vented_air_space,20,65,,
5,0.02,0.043,extruded_polystyrene,20,65,,
6,0.02,0.063,extruded_polystyrene,20,65,,
7,0.02,0.083,extruded_polystyrene,20,65,,
8,0.02,0.103,extruded_polystyrene,20,65,,
9,0.02,0.123,extruded_polystyrene,20,65,,
10,0.02,0.143,extruded_polystyrene,20,65,,
11,0.02,0.163,extruded_polystyrene,20,65,,
12,0.02,0.183,extruded_polystyrene,20,65,,
13,0.02,0.203,extruded_polystyrene,20,65,,
14,0.02,0.223,extruded_polystyrene,20,65,,
15,0.006,0.243,plasterboard,20,65,,
16,0.006,0.249,plasterboard,20,65,,
