セル番号,セル幅,質点までの距離,材料名称,温度,相対湿度,含水率,水分化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.001,0,plywood,10,56,,
2,0.002,0.001,plywood,10,56,,
3,0.002,0.001,plywood,10,56,,
4,0.002,0.001,plywood,10,56,,
5,0.002,0.001,plywood,10,56,,
6,0.002,0.001,plywood,10,56,,
7,0.002,0.001,plywood,10,56,,
8,0.002,0.001,plywood,10,56,,
9,0.002,0.001,plywood,10,56,,
10,0.002,0.001,plywood,10,56,,
11,0.002,0.001,plywood,10,56,,
12,0.001,0.0005,plywood,10,56,,
13,0.001,0.0005,paper,10,56,,
14,0.002,0.002,paper,10,56,,
