ì˙éû,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2022/1/1 0:00,3.9,72,,0.0,,1.1,ìÏ,,1.0e-50,
2022/1/1 1:00,3.8,75,,0.0,,1.3,ìÏìÏêº,,1.0e-50,
2022/1/1 2:00,3.7,79,,0.0,,1.1,êºìÏêº,,1.0e-50,
2022/1/1 3:00,2.9,82,,0.0,,0.7,ìÏêº,,1.0e-50,
2022/1/1 4:00,3.2,82,,0.0,,1.1,ìÏìÏêº,,1.0e-50,
2022/1/1 5:00,2.9,85,,0.0,,0.9,ìÏìÏêº,,1.0e-50,
2022/1/1 6:00,3.3,87,,0.1,,0.5,ìÏêº,,1.0e-50,
2022/1/1 7:00,3.8,87,,0.1,,1.0,ìÏêº,,1.0e-50,
2022/1/1 8:00,4.6,86,,0.0,,1.3,ìÏêº,,0.01,
2022/1/1 9:00,6.7,76,,0.0,,1.5,êº,,0.01,
2022/1/1 10:00,9.7,57,,0.0,,2.9,êº,,0.01,
2022/1/1 11:00,10.5,51,,0.0,,3.7,êº,,0.01,
2022/1/1 12:00,11.3,42,,0.0,,4.1,êº,,0.01,
2022/1/1 13:00,11.6,38,,0.0,,4.1,êº,,0.01,
2022/1/1 14:00,11.7,36,,0.0,,4.2,êºìÏêº,,0.01,
2022/1/1 15:00,11.4,39,,0.0,,3.7,êºìÏêº,,0.01,
2022/1/1 16:00,11.0,42,,0.0,,2.8,êºìÏêº,,0.01,
2022/1/1 17:00,10.0,48,,0.0,,2.0,êºìÏêº,,0.01,
2022/1/1 18:00,8.5,56,,0.0,,1.6,êºìÏêº,,1.0e-50,
2022/1/1 19:00,7.7,57,,0.0,,1.6,êº,,1.0e-50,
2022/1/1 20:00,6.9,58,,0.0,,1.4,êº,,1.0e-50,
2022/1/1 21:00,6.1,64,,0.0,,1.5,êº,,1.0e-50,
2022/1/1 22:00,5.6,64,,0.0,,1.5,êº,,1.0e-50,
2022/1/1 23:00,5.2,63,,0.0,,1.5,êºìÏêº,,1.0e-50,
2022/1/2 0:00,4.9,65,,0.0,,1.6,êºìÏêº,,1.0e-50,
2022/1/2 1:00,4.7,67,,0.0,,1.8,êºìÏêº,,1.0e-50,
2022/1/2 2:00,4.6,70,,0.0,,1.9,êºìÏêº,,1.0e-50,
2022/1/2 3:00,4.1,72,,0.0,,2.0,êºìÏêº,,1.0e-50,
2022/1/2 4:00,4.1,71,,0.0,,2.1,êºìÏêº,,1.0e-50,
2022/1/2 5:00,4.0,68,,0.0,,2.0,êºìÏêº,,1.0e-50,
2022/1/2 6:00,4.4,68,,0.0,,2.0,êºìÏêº,,1.0e-50,
2022/1/2 7:00,4.4,65,,0.0,,1.7,êºìÏêº,,1.0e-50,
2022/1/2 8:00,4.6,63,,0.0,,1.5,êºìÏêº,,0.01,
2022/1/2 9:00,5.9,59,,0.0,,1.2,êº,,0.01,
2022/1/2 10:00,8.3,49,,0.0,,2.1,êº,,0.01,
2022/1/2 11:00,9.4,48,,0.0,,2.9,êºñkêº,,0.01,
2022/1/2 12:00,9.8,47,,0.0,,3.3,êºñkêº,,0.01,
2022/1/2 13:00,10.0,44,,0.0,,3.2,êºñkêº,,0.01,
2022/1/2 14:00,9.6,49,,0.0,,3.0,ñkêº,,0.01,
2022/1/2 15:00,8.5,55,,0.1,,2.7,ñkñkêº,,0.01,
2022/1/2 16:00,7.9,56,,0.0,,2.5,ñkñkêº,,0.01,
2022/1/2 17:00,7.0,61,,0.0,,1.8,ñkñkêº,,0.01,
2022/1/2 18:00,6.5,64,,0.0,,1.3,ñkñkêº,,1.0e-50,
2022/1/2 19:00,5.8,67,,0.0,,1.2,ñk,,1.0e-50,
2022/1/2 20:00,5.4,69,,0.0,,0.9,ñkñkìå,,1.0e-50,
2022/1/2 21:00,5.0,72,,0.0,,0.8,ñkñkìå,,1.0e-50,
2022/1/2 22:00,4.3,75,,0.0,,0.4,ìå,,1.0e-50,
2022/1/2 23:00,3.9,77,,0.0,,0.7,ìåñkìå,,1.0e-50,
2022/1/3 0:00,3.2,79,,0.0,,0.3,ñkñkìå,,1.0e-50,
2022/1/3 1:00,2.9,80,,0.0,,0.3,ìÏêº,,1.0e-50,
2022/1/3 2:00,2.8,77,,0.0,,1.1,ñkìå,,1.0e-50,
2022/1/3 3:00,2.1,78,,0.0,,0.8,ñkñkìå,,1.0e-50,
2022/1/3 4:00,1.6,80,,0.0,,0.5,ñkìå,,1.0e-50,
2022/1/3 5:00,1.2,81,,0.0,,0.7,ñkñkìå,,1.0e-50,
2022/1/3 6:00,1.2,82,,0.0,,0.5,ñkìå,,1.0e-50,
2022/1/3 7:00,1.2,82,,0.0,,0.7,ñkñkêº,,1.0e-50,
2022/1/3 8:00,1.8,79,,0.0,,0.7,ñkñkêº,,0.01,
2022/1/3 9:00,3.4,71,,0.0,,0.5,ñk,,0.01,
2022/1/3 10:00,5.2,62,,0.0,,0.9,ìÏìÏêº,,0.01,
2022/1/3 11:00,6.7,56,,0.0,,1.4,ìÏìÏêº,,0.01,
2022/1/3 12:00,8.2,51,,0.0,,1.4,ìÏêº,,0.01,
2022/1/3 13:00,9.1,46,,0.0,,1.6,ìÏêº,,0.01,
2022/1/3 14:00,10.0,42,,0.0,,1.4,êºìÏêº,,0.01,
2022/1/3 15:00,10.5,45,,0.0,,2.2,ìÏêº,,0.01,
2022/1/3 16:00,10.3,50,,0.0,,1.7,ìÏêº,,0.01,
2022/1/3 17:00,9.1,58,,0.0,,1.5,ìÏìÏêº,,0.01,
2022/1/3 18:00,8.0,66,,0.0,,0.6,ìÏìÏêº,,1.0e-50,
2022/1/3 19:00,7.2,69,,0.0,,0.8,êº,,1.0e-50,
2022/1/3 20:00,6.6,68,,0.0,,0.7,ñkêº,,1.0e-50,
2022/1/3 21:00,5.8,70,,0.0,,0.5,ìÏìÏêº,,1.0e-50,
2022/1/3 22:00,5.7,72,,0.0,,0.8,ìÏìÏêº,,1.0e-50,
2022/1/3 23:00,5.1,76,,0.0,,0.2,ñkñkêº,,1.0e-50,
2022/1/4 0:00,4.4,77,,0.0,,0.2,êºìÏêº,,1.0e-50,
2022/1/4 1:00,4.0,78,,0.0,,0.1,ìÏìå,,1.0e-50,
2022/1/4 2:00,4.1,77,,0.0,,0.8,ìÏ,,1.0e-50,
