日付,気温,相対湿度,気圧,降水量,降雪量,風速,風向,全天日射量,大気透過率,雲量
y/m/d HH:MM,℃,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2023/6/1 0:00,16.6,93,,0,,,,,0.00E+00,
2023/6/1 1:00,16.3,93,,0,,,,,0.00E+00,
2023/6/1 2:00,15.9,93,,0,,,,,0.00E+00,
2023/6/1 3:00,15,95,,0,,,,,0.00E+00,
2023/6/1 4:00,15.6,90,,0,,,,,0.00E+00,
2023/6/1 5:00,15.5,90,,0,,,,,0.00E+00,
2023/6/1 6:00,16.8,86,,0,,,,,0.00E+00,
2023/6/1 7:00,20,75,,0,,,,,0.00E+00,
2023/6/1 8:00,21.6,61,,0,,,,,0.00E+00,
2023/6/1 9:00,22.8,60,,0,,,,,0.00E+00,
2023/6/1 10:00,22.9,59,,0,,,,,0.00E+00,
2023/6/1 11:00,23.6,58,,0,,,,,0.00E+00,
2023/6/1 12:00,23.9,58,,0,,,,,0.00E+00,
2023/6/1 13:00,22.8,67,,0,,,,,0.00E+00,
2023/6/1 14:00,22.3,75,,0,,,,,0.00E+00,
2023/6/1 15:00,21.9,76,,0,,,,,0.00E+00,
2023/6/1 16:00,21.9,75,,0,,,,,0.00E+00,
2023/6/1 17:00,21.1,81,,0,,,,,0.00E+00,
2023/6/1 18:00,20.9,82,,0,,,,,0.00E+00,
2023/6/1 19:00,20.8,83,,0,,,,,0.00E+00,
2023/6/1 20:00,20.9,82,,0,,,,,0.00E+00,
2023/6/1 21:00,21.1,82,,0,,,,,0.00E+00,
2023/6/1 22:00,20.6,86,,0,,,,,0.00E+00,
2023/6/1 23:00,20.5,89,,0,,,,,0.00E+00,
2023/6/2 0:00,20,94,,0,,,,,0.00E+00,
2023/6/2 1:00,20.1,93,,0,,,,,0.00E+00,
2023/6/2 2:00,20.1,94,,0,,,,,0.00E+00,
2023/6/2 3:00,20.5,93,,0,,,,,0.00E+00,
2023/6/2 4:00,20.9,94,,0,,,,,0.00E+00,
2023/6/2 5:00,21.1,96,,0,,,,,0.00E+00,
2023/6/2 6:00,21.4,95,,0,,,,,0.00E+00,
2023/6/2 7:00,21.7,97,,0,,,,,0.00E+00,
2023/6/2 8:00,22.5,94,,0,,,,,0.00E+00,
2023/6/2 9:00,21.4,94,,0.5,,,,,0.00E+00,
2023/6/2 10:00,21.3,96,,0,,,,,0.00E+00,
2023/6/2 11:00,21,98,,0,,,,,0.00E+00,
2023/6/2 12:00,23,95,,0,,,,,0.00E+00,
2023/6/2 13:00,23.9,93,,0,,,,,0.00E+00,
2023/6/2 14:00,22.7,96,,0,,,,,0.00E+00,
2023/6/2 15:00,21.4,98,,0,,,,,0.00E+00,
2023/6/2 16:00,21.2,97,,0,,,,,0.00E+00,
2023/6/2 17:00,21,96,,0,,,,,0.00E+00,
2023/6/2 18:00,21.1,96,,0,,,,,0.00E+00,
