,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,10.9,0.89,0.00721,25.0,0.5,0.00988,
2022/04/01 00:10,10.705,0.893,0.00714,20.019,0.501,0.00728,
2022/04/01 00:20,10.488,0.897,0.00706,19.913,0.503,0.00727,
2022/04/01 00:30,10.272,0.9,0.00699,19.849,0.503,0.00723,
2022/04/01 00:40,10.055,0.903,0.00691,19.767,0.502,0.00719,
2022/04/01 00:50,9.838,0.907,0.00683,19.65,0.502,0.00713,
2022/04/01 01:00,9.622,0.91,0.00676,19.496,0.501,0.00705,
2022/04/01 01:10,9.45,0.91,0.00668,19.31,0.5,0.00696,
2022/04/01 01:20,9.283,0.91,0.00661,19.099,0.5,0.00686,
2022/04/01 01:30,9.117,0.91,0.00654,18.868,0.499,0.00675,
2022/04/01 01:40,8.95,0.91,0.00646,18.622,0.499,0.00664,
2022/04/01 01:50,8.783,0.91,0.00639,18.365,0.498,0.00653,
2022/04/01 02:00,8.617,0.91,0.00631,18.102,0.498,0.00641,
2022/04/01 02:10,8.345,0.916,0.00624,17.832,0.497,0.0063,
2022/04/01 02:20,8.062,0.923,0.00616,17.56,0.497,0.00618,
2022/04/01 02:30,7.778,0.93,0.00609,17.286,0.496,0.00607,
2022/04/01 02:40,7.495,0.936,0.00601,17.012,0.496,0.00596,
2022/04/01 02:50,7.212,0.943,0.00594,16.737,0.496,0.00586,
2022/04/01 03:00,6.928,0.949,0.00587,16.463,0.496,0.00575,
2022/04/01 03:10,6.795,0.949,0.00581,16.192,0.496,0.00565,
2022/04/01 03:20,6.678,0.947,0.00575,15.922,0.496,0.00555,
2022/04/01 03:30,6.562,0.946,0.00569,15.653,0.495,0.00546,
2022/04/01 03:40,6.445,0.944,0.00564,15.384,0.495,0.00536,
2022/04/01 03:50,6.328,0.942,0.00558,15.118,0.495,0.00527,
2022/04/01 04:00,6.212,0.94,0.00553,14.853,0.496,0.00518,
2022/04/01 04:10,5.99,0.942,0.00545,14.589,0.496,0.00509,
2022/04/01 04:20,5.757,0.944,0.00537,14.328,0.496,0.00501,
2022/04/01 04:30,5.523,0.946,0.0053,14.069,0.496,0.00493,
2022/04/01 04:40,5.29,0.947,0.00522,13.813,0.496,0.00485,
