,climate,climate,climate,climate,wall1,wall1,wall1,wall1,wall2,wall2,wall2,wall2,wall3,wall3,wall3,wall3,wall4,wall4,wall4,wall4,wall5,wall5,wall5,wall5,wall6,wall6,wall6,wall6,wall7,wall7,wall7,wall7,wall8,wall8,wall8,wall8,wall9,wall9,wall9,wall9,wall10,wall10,wall10,wall10,wall11,wall11,wall11,wall11,wall12,wall12,wall12,wall12,wall13,wall13,wall13,wall13,wall14,wall14,wall14,wall14,wall15,wall15,wall15,wall15,wall16,wall16,wall16,wall16,indoor,indoor,indoor,indoor,
 ,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,
2020/04/01 00:00,19.9,0.83,0.01207,Error,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,25.0,0.5,0.00988,Error,
2020/04/01 00:10,19.81,0.832,0.01203,Error,13.354,0.622,0.00591,0.05789,12.116,0.562,0.00492,0.05131,11.223,0.561,0.00463,0.05131,10.648,0.561,0.00445,0.05131,10.315,0.56,0.00434,0.05131,10.141,0.56,0.00429,0.05131,10.058,0.56,0.00427,0.05131,10.024,0.56,0.00426,0.05131,10.013,0.56,0.00425,0.05131,10.015,0.56,0.00425,0.05131,10.027,0.56,0.00426,0.05131,10.05,0.56,0.00427,0.05131,10.084,0.56,0.00428,0.05131,10.123,0.56,0.00429,0.05131,10.157,0.56,0.0043,0.05131,10.173,0.561,0.00431,0.05137,10.294,0.555,0.00429,Error,
2020/04/01 00:20,19.71,0.833,0.01198,Error,14.243,0.665,0.0067,0.06339,13.137,0.564,0.00527,0.05131,12.214,0.563,0.00495,0.05131,11.494,0.562,0.00471,0.05131,10.964,0.561,0.00454,0.05131,10.595,0.561,0.00443,0.05131,10.354,0.56,0.00436,0.05131,10.207,0.56,0.00431,0.05131,10.125,0.56,0.00429,0.05131,10.086,0.56,0.00428,0.05131,10.074,0.56,0.00427,0.05131,10.079,0.56,0.00427,0.05131,10.093,0.56,0.00428,0.05131,10.11,0.56,0.00428,0.05131,10.127,0.56,0.00429,0.05131,10.142,0.561,0.0043,0.05141,10.235,0.57,0.0044,Error,
2020/04/01 00:30,19.61,0.835,0.01192,Error,14.75,0.699,0.00728,0.06818,13.758,0.564,0.0055,0.05132,12.876,0.563,0.00518,0.05131,12.137,0.562,0.00493,0.05131,11.541,0.562,0.00473,0.05131,11.079,0.561,0.00458,0.05131,10.737,0.561,0.00447,0.05131,10.494,0.561,0.0044,0.05131,10.33,0.56,0.00435,0.05131,10.226,0.56,0.00432,0.05131,10.165,0.56,0.0043,0.05131,10.134,0.56,0.00429,0.05131,10.122,0.56,0.00429,0.05131,10.123,0.56,0.00429,0.05131,10.13,0.56,0.00429,0.05131,10.142,0.562,0.0043,0.05146,10.23,0.571,0.00441,Error,
2020/04/01 00:40,19.51,0.837,0.01187,Error,15.082,0.725,0.00773,0.07243,14.183,0.565,0.00566,0.05132,13.353,0.564,0.00535,0.05131,12.628,0.563,0.00509,0.05131,12.015,0.562,0.00488,0.05131,11.512,0.562,0.00472,0.05131,11.112,0.561,0.00459,0.05131,10.804,0.561,0.00449,0.05131,10.576,0.561,0.00442,0.05131,10.413,0.56,0.00437,0.05131,10.301,0.56,0.00434,0.05131,10.23,0.56,0.00432,0.05131,10.188,0.56,0.00431,0.05131,10.167,0.56,0.0043,0.05131,10.162,0.56,0.0043,0.05131,10.169,0.562,0.00432,0.05152,10.252,0.572,0.00442,Error,
2020/04/01 00:50,19.41,0.838,0.01182,Error,15.313,0.747,0.00809,0.07623,14.49,0.565,0.00578,0.05132,13.711,0.564,0.00548,0.05131,13.013,0.563,0.00523,0.05131,12.403,0.563,0.00502,0.05131,11.884,0.562,0.00484,0.05131,11.453,0.562,0.0047,0.05131,11.104,0.561,0.00459,0.05131,10.83,0.561,0.0045,0.05131,10.621,0.561,0.00444,0.05131,10.468,0.561,0.00439,0.05131,10.359,0.56,0.00436,0.05131,10.287,0.56,0.00434,0.05131,10.245,0.56,0.00432,0.05131,10.226,0.56,0.00432,0.05131,10.229,0.563,0.00434,0.05157,10.306,0.573,0.00444,Error,
2020/04/01 01:00,19.31,0.84,0.01177,Error,15.479,0.766,0.00838,0.07967,14.721,0.565,0.00587,0.05132,13.989,0.565,0.00559,0.05131,13.321,0.564,0.00534,0.05131,12.724,0.563,0.00513,0.05131,12.202,0.563,0.00495,0.05131,11.756,0.562,0.0048,0.05131,11.383,0.562,0.00468,0.05131,11.078,0.561,0.00458,0.05131,10.837,0.561,0.0045,0.05131,10.65,0.561,0.00445,0.05131,10.511,0.561,0.0044,0.05131,10.414,0.56,0.00437,0.05131,10.353,0.56,0.00436,0.05131,10.323,0.56,0.00435,0.05131,10.321,0.563,0.00437,0.05162,10.392,0.573,0.00447,Error,
2020/04/01 01:10,19.255,0.84,0.01173,Error,15.607,0.781,0.00862,0.08281,14.901,0.566,0.00594,0.05133,14.211,0.565,0.00567,0.05131,13.572,0.564,0.00543,0.05131,12.992,0.563,0.00522,0.05131,12.476,0.563,0.00504,0.05131,12.024,0.562,0.00489,0.05131,11.638,0.562,0.00476,0.05131,11.315,0.562,0.00465,0.05131,11.05,0.561,0.00457,0.05131,10.84,0.561,0.0045,0.05131,10.679,0.561,0.00446,0.05131,10.562,0.561,0.00442,0.05131,10.485,0.561,0.0044,0.05131,10.445,0.561,0.00438,0.05131,10.44,0.564,0.00441,0.05168,10.506,0.574,0.00451,Error,
2020/04/01 01:20,19.205,0.84,0.01169,Error,15.709,0.795,0.00884,0.08568,15.048,0.566,0.006,0.05133,14.394,0.565,0.00574,0.05131,13.782,0.564,0.00551,0.05131,13.221,0.564,0.0053,0.05131,12.713,0.563,0.00512,0.05131,12.263,0.563,0.00497,0.05131,11.872,0.562,0.00484,0.05131,11.537,0.562,0.00473,0.05131,11.258,0.561,0.00464,0.05131,11.032,0.561,0.00457,0.05131,10.855,0.561,0.00451,0.05131,10.724,0.561,0.00447,0.05131,10.636,0.561,0.00444,0.05131,10.589,0.561,0.00443,0.05131,10.581,0.565,0.00446,0.05173,10.643,0.574,0.00455,Error,
