,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,10.403,0.565,0.0044,
2022/04/01 00:20,19.71,0.833,0.01198,10.358,0.581,0.00452,
2022/04/01 00:30,19.61,0.835,0.01192,10.368,0.582,0.00453,
2022/04/01 00:40,19.51,0.837,0.01187,10.412,0.583,0.00455,
2022/04/01 00:50,19.41,0.838,0.01182,10.502,0.584,0.00459,
2022/04/01 01:00,19.31,0.84,0.01177,10.634,0.585,0.00464,
2022/04/01 01:10,19.255,0.84,0.01173,10.8,0.586,0.0047,
2022/04/01 01:20,19.205,0.84,0.01169,10.991,0.587,0.00476,
2022/04/01 01:30,19.155,0.84,0.01166,11.197,0.588,0.00484,
2022/04/01 01:40,19.105,0.84,0.01162,11.412,0.588,0.00491,
2022/04/01 01:50,19.055,0.84,0.01158,11.63,0.589,0.00499,
2022/04/01 02:00,19.005,0.84,0.01155,11.848,0.59,0.00507,
2022/04/01 02:10,19.0,0.837,0.0115,12.063,0.59,0.00514,
2022/04/01 02:20,19.0,0.834,0.01145,12.272,0.591,0.00522,
2022/04/01 02:30,19.0,0.83,0.01141,12.476,0.591,0.0053,
2022/04/01 02:40,19.0,0.827,0.01136,12.673,0.592,0.00537,
2022/04/01 02:50,19.0,0.824,0.01131,12.863,0.592,0.00544,
2022/04/01 03:00,19.0,0.82,0.01127,13.045,0.593,0.00551,
2022/04/01 03:10,18.88,0.82,0.01118,13.218,0.593,0.00558,
2022/04/01 03:20,18.747,0.82,0.01109,13.383,0.594,0.00565,
2022/04/01 03:30,18.613,0.82,0.01099,13.54,0.594,0.00571,
2022/04/01 03:40,18.48,0.82,0.0109,13.691,0.595,0.00577,
2022/04/01 03:50,18.347,0.82,0.01081,13.834,0.595,0.00583,
2022/04/01 04:00,18.213,0.82,0.01071,13.969,0.595,0.00589,
2022/04/01 04:10,18.125,0.82,0.01065,14.099,0.596,0.00594,
2022/04/01 04:20,18.042,0.82,0.0106,14.221,0.596,0.00599,
2022/04/01 04:30,17.958,0.82,0.01054,14.335,0.597,0.00604,
2022/04/01 04:40,17.875,0.82,0.01048,14.443,0.597,0.00609,
2022/04/01 04:50,17.792,0.82,0.01043,14.544,0.598,0.00613,
2022/04/01 05:00,17.708,0.82,0.01037,14.638,0.598,0.00618,
2022/04/01 05:10,17.76,0.811,0.01029,14.728,0.598,0.00622,
2022/04/01 05:20,17.827,0.801,0.0102,14.812,0.599,0.00625,
2022/04/01 05:30,17.893,0.791,0.01011,14.892,0.599,0.00629,
2022/04/01 05:40,17.96,0.781,0.01003,14.966,0.599,0.00632,
2022/04/01 05:50,18.027,0.771,0.00994,15.035,0.599,0.00635,
2022/04/01 06:00,18.093,0.761,0.00985,15.101,0.599,0.00638,
2022/04/01 06:10,17.98,0.763,0.00981,15.161,0.6,0.00641,
2022/04/01 06:20,17.847,0.766,0.00977,15.217,0.6,0.00644,
2022/04/01 06:30,17.713,0.77,0.00973,15.269,0.6,0.00646,
2022/04/01 06:40,17.58,0.773,0.00969,15.319,0.601,0.00649,
2022/04/01 06:50,17.447,0.776,0.00965,15.366,0.601,0.00651,
2022/04/01 07:00,17.313,0.78,0.00961,15.41,0.602,0.00653,
2022/04/01 07:10,17.315,0.771,0.0095,15.453,0.602,0.00655,
2022/04/01 07:20,17.332,0.761,0.00938,15.492,0.602,0.00657,
2022/04/01 07:30,17.348,0.751,0.00927,15.529,0.602,0.00659,
2022/04/01 07:40,17.365,0.741,0.00915,15.563,0.602,0.0066,
2022/04/01 07:50,17.382,0.731,0.00904,15.594,0.602,0.00662,
2022/04/01 08:00,17.398,0.721,0.00892,15.622,0.602,0.00663,
2022/04/01 08:10,17.475,0.72,0.00895,15.649,0.602,0.00664,
2022/04/01 08:20,17.558,0.72,0.009,15.675,0.603,0.00666,
2022/04/01 08:30,17.642,0.72,0.00905,15.699,0.603,0.00667,
2022/04/01 08:40,17.725,0.72,0.0091,15.721,0.603,0.00669,
2022/04/01 08:50,17.808,0.72,0.00915,15.743,0.604,0.0067,
2022/04/01 09:00,17.892,0.72,0.0092,15.764,0.604,0.00671,
2022/04/01 09:10,17.78,0.726,0.00921,15.783,0.604,0.00673,
2022/04/01 09:20,17.647,0.732,0.00921,15.802,0.605,0.00674,
2022/04/01 09:30,17.513,0.739,0.00922,15.821,0.605,0.00675,
2022/04/01 09:40,17.38,0.746,0.00922,15.843,0.606,0.00676,
2022/04/01 09:50,17.247,0.752,0.00923,15.865,0.606,0.00678,
2022/04/01 10:00,17.113,0.759,0.00923,15.887,0.606,0.00679,
2022/04/01 10:10,17.025,0.762,0.00921,15.91,0.607,0.00681,
2022/04/01 10:20,16.942,0.763,0.00918,15.933,0.607,0.00682,
2022/04/01 10:30,16.858,0.765,0.00915,15.955,0.607,0.00683,
2022/04/01 10:40,16.775,0.767,0.00912,15.976,0.607,0.00684,
2022/04/01 10:50,16.692,0.768,0.00909,15.996,0.608,0.00686,
2022/04/01 11:00,16.608,0.77,0.00906,16.015,0.608,0.00687,
2022/04/01 11:10,16.81,0.757,0.00903,16.036,0.608,0.00688,
2022/04/01 11:20,17.043,0.744,0.009,16.056,0.608,0.00689,
2022/04/01 11:30,17.277,0.73,0.00897,16.075,0.608,0.0069,
2022/04/01 11:40,17.51,0.717,0.00894,16.093,0.608,0.00691,
2022/04/01 11:50,17.743,0.704,0.0089,16.11,0.608,0.00691,
2022/04/01 12:00,17.977,0.691,0.00887,16.127,0.608,0.00692,
2022/04/01 12:10,17.91,0.689,0.0088,16.14,0.608,0.00693,
2022/04/01 12:20,17.81,0.687,0.00872,16.153,0.609,0.00694,
2022/04/01 12:30,17.71,0.685,0.00865,16.166,0.609,0.00694,
2022/04/01 12:40,17.61,0.684,0.00857,16.181,0.609,0.00695,
