,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,22.568,0.511,0.00872,
2022/04/01 00:20,19.71,0.833,0.01198,22.198,0.526,0.00876,
2022/04/01 00:30,19.61,0.835,0.01192,21.973,0.538,0.00885,
2022/04/01 00:40,19.51,0.837,0.01187,21.804,0.549,0.00893,
2022/04/01 00:50,19.41,0.838,0.01182,21.663,0.559,0.00901,
2022/04/01 01:00,19.31,0.84,0.01177,21.54,0.567,0.00908,
2022/04/01 01:10,19.255,0.84,0.01173,21.432,0.575,0.00915,
2022/04/01 01:20,19.205,0.84,0.01169,21.34,0.583,0.00922,
2022/04/01 01:30,19.155,0.84,0.01166,21.258,0.59,0.00929,
2022/04/01 01:40,19.105,0.84,0.01162,21.184,0.596,0.00935,
2022/04/01 01:50,19.055,0.84,0.01158,21.116,0.602,0.00941,
2022/04/01 02:00,19.005,0.84,0.01155,21.051,0.608,0.00946,
2022/04/01 02:10,19.0,0.837,0.0115,20.992,0.613,0.00951,
2022/04/01 02:20,19.0,0.834,0.01145,20.938,0.618,0.00955,
2022/04/01 02:30,19.0,0.83,0.01141,20.887,0.623,0.00959,
2022/04/01 02:40,19.0,0.827,0.01136,20.838,0.627,0.00963,
2022/04/01 02:50,19.0,0.824,0.01131,20.791,0.631,0.00966,
2022/04/01 03:00,19.0,0.82,0.01127,20.745,0.634,0.00968,
2022/04/01 03:10,18.88,0.82,0.01118,20.689,0.637,0.0097,
2022/04/01 03:20,18.747,0.82,0.01109,20.619,0.64,0.0097,
2022/04/01 03:30,18.613,0.82,0.01099,20.541,0.643,0.00969,
2022/04/01 03:40,18.48,0.82,0.0109,20.456,0.645,0.00967,
2022/04/01 03:50,18.347,0.82,0.01081,20.368,0.647,0.00965,
2022/04/01 04:00,18.213,0.82,0.01071,20.278,0.649,0.00963,
2022/04/01 04:10,18.125,0.82,0.01065,20.191,0.651,0.0096,
2022/04/01 04:20,18.042,0.82,0.0106,20.11,0.653,0.00958,
2022/04/01 04:30,17.958,0.82,0.01054,20.034,0.655,0.00957,
2022/04/01 04:40,17.875,0.82,0.01048,19.959,0.657,0.00955,
2022/04/01 04:50,17.792,0.82,0.01043,19.885,0.658,0.00953,
2022/04/01 05:00,17.708,0.82,0.01037,19.812,0.66,0.00951,
2022/04/01 05:10,17.76,0.811,0.01029,19.747,0.661,0.00949,
2022/04/01 05:20,17.827,0.801,0.0102,19.69,0.662,0.00946,
2022/04/01 05:30,17.893,0.791,0.01011,19.639,0.662,0.00944,
2022/04/01 05:40,17.96,0.781,0.01003,19.592,0.663,0.00941,
2022/04/01 05:50,18.027,0.771,0.00994,19.549,0.662,0.00939,
2022/04/01 06:00,18.093,0.761,0.00985,19.507,0.662,0.00936,
2022/04/01 06:10,17.98,0.763,0.00981,19.459,0.662,0.00932,
2022/04/01 06:20,17.847,0.766,0.00977,19.402,0.661,0.00928,
2022/04/01 06:30,17.713,0.77,0.00973,19.339,0.661,0.00925,
2022/04/01 06:40,17.58,0.773,0.00969,19.272,0.661,0.00921,
2022/04/01 06:50,17.447,0.776,0.00965,19.202,0.661,0.00917,
2022/04/01 07:00,17.313,0.78,0.00961,19.131,0.662,0.00913,
2022/04/01 07:10,17.315,0.771,0.0095,19.062,0.662,0.00909,
2022/04/01 07:20,17.332,0.761,0.00938,18.996,0.661,0.00905,
2022/04/01 07:30,17.348,0.751,0.00927,18.933,0.66,0.009,
2022/04/01 07:40,17.365,0.741,0.00915,18.871,0.659,0.00895,
2022/04/01 07:50,17.382,0.731,0.00904,18.81,0.658,0.0089,
2022/04/01 08:00,17.398,0.721,0.00892,18.751,0.656,0.00884,
2022/04/01 08:10,17.475,0.72,0.00895,18.706,0.655,0.0088,
2022/04/01 08:20,17.558,0.72,0.009,18.686,0.654,0.00878,
2022/04/01 08:30,17.642,0.72,0.00905,18.679,0.654,0.00877,
2022/04/01 08:40,17.725,0.72,0.0091,18.682,0.654,0.00877,
2022/04/01 08:50,17.808,0.72,0.00915,18.69,0.654,0.00877,
2022/04/01 09:00,17.892,0.72,0.0092,18.702,0.654,0.00878,
2022/04/01 09:10,17.78,0.726,0.00921,18.703,0.654,0.00878,
2022/04/01 09:20,17.647,0.732,0.00921,18.683,0.654,0.00877,
2022/04/01 09:30,17.513,0.739,0.00922,18.652,0.654,0.00875,
2022/04/01 09:40,17.38,0.746,0.00922,18.613,0.654,0.00874,
2022/04/01 09:50,17.247,0.752,0.00923,18.569,0.655,0.00872,
2022/04/01 10:00,17.113,0.759,0.00923,18.522,0.656,0.0087,
2022/04/01 10:10,17.025,0.762,0.00921,18.474,0.656,0.00869,
2022/04/01 10:20,16.942,0.763,0.00918,18.424,0.657,0.00867,
2022/04/01 10:30,16.858,0.765,0.00915,18.374,0.657,0.00865,
2022/04/01 10:40,16.775,0.767,0.00912,18.323,0.658,0.00863,
2022/04/01 10:50,16.692,0.768,0.00909,18.271,0.659,0.00861,
2022/04/01 11:00,16.608,0.77,0.00906,18.22,0.659,0.00858,
2022/04/01 11:10,16.81,0.757,0.00903,18.185,0.659,0.00857,
2022/04/01 11:20,17.043,0.744,0.009,18.176,0.659,0.00857,
2022/04/01 11:30,17.277,0.73,0.00897,18.182,0.659,0.00857,
2022/04/01 11:40,17.51,0.717,0.00894,18.198,0.659,0.00857,
2022/04/01 11:50,17.743,0.704,0.0089,18.222,0.658,0.00857,
2022/04/01 12:00,17.977,0.691,0.00887,18.251,0.656,0.00857,
2022/04/01 12:10,17.91,0.689,0.0088,18.264,0.655,0.00855,
2022/04/01 12:20,17.81,0.687,0.00872,18.248,0.653,0.00852,
2022/04/01 12:30,17.71,0.685,0.00865,18.216,0.651,0.00848,
2022/04/01 12:40,17.61,0.684,0.00857,18.173,0.65,0.00844,
