,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,20.389,0.5,0.00744,
2022/04/01 00:20,19.71,0.833,0.01198,20.377,0.503,0.00748,
2022/04/01 00:30,19.61,0.835,0.01192,20.374,0.504,0.0075,
2022/04/01 00:40,19.51,0.837,0.01187,20.373,0.505,0.00751,
2022/04/01 00:50,19.41,0.838,0.01182,20.372,0.506,0.00752,
2022/04/01 01:00,19.31,0.84,0.01177,20.372,0.506,0.00753,
2022/04/01 01:10,19.255,0.84,0.01173,20.373,0.507,0.00753,
2022/04/01 01:20,19.205,0.84,0.01169,20.375,0.507,0.00754,
2022/04/01 01:30,19.155,0.84,0.01166,20.379,0.508,0.00755,
2022/04/01 01:40,19.105,0.84,0.01162,20.383,0.508,0.00756,
2022/04/01 01:50,19.055,0.84,0.01158,20.388,0.509,0.00757,
2022/04/01 02:00,19.005,0.84,0.01155,20.393,0.509,0.00758,
2022/04/01 02:10,19.0,0.837,0.0115,20.399,0.509,0.00759,
2022/04/01 02:20,19.0,0.834,0.01145,20.405,0.51,0.0076,
2022/04/01 02:30,19.0,0.83,0.01141,20.411,0.51,0.00761,
2022/04/01 02:40,19.0,0.827,0.01136,20.417,0.511,0.00762,
2022/04/01 02:50,19.0,0.824,0.01131,20.423,0.511,0.00762,
2022/04/01 03:00,19.0,0.82,0.01127,20.428,0.511,0.00763,
2022/04/01 03:10,18.88,0.82,0.01118,20.433,0.512,0.00764,
2022/04/01 03:20,18.747,0.82,0.01109,20.437,0.512,0.00765,
2022/04/01 03:30,18.613,0.82,0.01099,20.439,0.512,0.00765,
2022/04/01 03:40,18.48,0.82,0.0109,20.442,0.513,0.00766,
2022/04/01 03:50,18.347,0.82,0.01081,20.443,0.513,0.00766,
2022/04/01 04:00,18.213,0.82,0.01071,20.443,0.513,0.00767,
2022/04/01 04:10,18.125,0.82,0.01065,20.443,0.513,0.00767,
2022/04/01 04:20,18.042,0.82,0.0106,20.441,0.514,0.00767,
2022/04/01 04:30,17.958,0.82,0.01054,20.439,0.514,0.00767,
2022/04/01 04:40,17.875,0.82,0.01048,20.436,0.514,0.00767,
2022/04/01 04:50,17.792,0.82,0.01043,20.432,0.514,0.00767,
2022/04/01 05:00,17.708,0.82,0.01037,20.427,0.514,0.00767,
2022/04/01 05:10,17.76,0.811,0.01029,20.421,0.514,0.00767,
2022/04/01 05:20,17.827,0.801,0.0102,20.414,0.514,0.00767,
2022/04/01 05:30,17.893,0.791,0.01011,20.406,0.515,0.00767,
2022/04/01 05:40,17.96,0.781,0.01003,20.398,0.515,0.00767,
2022/04/01 05:50,18.027,0.771,0.00994,20.388,0.515,0.00766,
2022/04/01 06:00,18.093,0.761,0.00985,20.377,0.515,0.00766,
2022/04/01 06:10,17.98,0.763,0.00981,20.365,0.515,0.00765,
2022/04/01 06:20,17.847,0.766,0.00977,20.351,0.515,0.00764,
2022/04/01 06:30,17.713,0.77,0.00973,20.337,0.515,0.00764,
2022/04/01 06:40,17.58,0.773,0.00969,20.322,0.515,0.00763,
2022/04/01 06:50,17.447,0.776,0.00965,20.305,0.515,0.00762,
2022/04/01 07:00,17.313,0.78,0.00961,20.288,0.515,0.00761,
2022/04/01 07:10,17.315,0.771,0.0095,20.27,0.515,0.0076,
2022/04/01 07:20,17.332,0.761,0.00938,20.252,0.514,0.00759,
2022/04/01 07:30,17.348,0.751,0.00927,20.232,0.514,0.00758,
2022/04/01 07:40,17.365,0.741,0.00915,20.212,0.514,0.00757,
2022/04/01 07:50,17.382,0.731,0.00904,20.19,0.514,0.00756,
2022/04/01 08:00,17.398,0.721,0.00892,20.168,0.514,0.00755,
2022/04/01 08:10,17.475,0.72,0.00895,20.146,0.514,0.00753,
2022/04/01 08:20,17.558,0.72,0.009,20.123,0.514,0.00752,
2022/04/01 08:30,17.642,0.72,0.00905,20.1,0.514,0.00751,
2022/04/01 08:40,17.725,0.72,0.0091,20.077,0.513,0.0075,
2022/04/01 08:50,17.808,0.72,0.00915,20.053,0.513,0.00748,
2022/04/01 09:00,17.892,0.72,0.0092,20.029,0.513,0.00747,
2022/04/01 09:10,17.78,0.726,0.00921,20.004,0.513,0.00746,
2022/04/01 09:20,17.647,0.732,0.00921,19.979,0.513,0.00745,
2022/04/01 09:30,17.513,0.739,0.00922,19.953,0.513,0.00743,
2022/04/01 09:40,17.38,0.746,0.00922,19.927,0.513,0.00742,
2022/04/01 09:50,17.247,0.752,0.00923,19.9,0.513,0.00741,
2022/04/01 10:00,17.113,0.759,0.00923,19.874,0.513,0.00739,
2022/04/01 10:10,17.025,0.762,0.00921,19.847,0.513,0.00738,
2022/04/01 10:20,16.942,0.763,0.00918,19.821,0.513,0.00737,
2022/04/01 10:30,16.858,0.765,0.00915,19.794,0.513,0.00736,
2022/04/01 10:40,16.775,0.767,0.00912,19.767,0.513,0.00734,
2022/04/01 10:50,16.692,0.768,0.00909,19.74,0.513,0.00733,
2022/04/01 11:00,16.608,0.77,0.00906,19.713,0.513,0.00732,
2022/04/01 11:10,16.81,0.757,0.00903,19.686,0.513,0.0073,
2022/04/01 11:20,17.043,0.744,0.009,19.66,0.512,0.00729,
2022/04/01 11:30,17.277,0.73,0.00897,19.634,0.512,0.00728,
2022/04/01 11:40,17.51,0.717,0.00894,19.608,0.512,0.00726,
2022/04/01 11:50,17.743,0.704,0.0089,19.582,0.512,0.00725,
2022/04/01 12:00,17.977,0.691,0.00887,19.556,0.512,0.00724,
2022/04/01 12:10,17.91,0.689,0.0088,19.53,0.512,0.00722,
2022/04/01 12:20,17.81,0.687,0.00872,19.503,0.512,0.00721,
2022/04/01 12:30,17.71,0.685,0.00865,19.475,0.512,0.0072,
2022/04/01 12:40,17.61,0.684,0.00857,19.448,0.512,0.00718,
