,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,22.541,0.501,0.00852,
2022/04/01 00:20,19.71,0.833,0.01198,22.094,0.508,0.0084,
2022/04/01 00:30,19.61,0.835,0.01192,21.818,0.514,0.00837,
2022/04/01 00:40,19.51,0.837,0.01187,21.623,0.521,0.00838,
2022/04/01 00:50,19.41,0.838,0.01182,21.475,0.527,0.0084,
2022/04/01 01:00,19.31,0.84,0.01177,21.358,0.533,0.00844,
2022/04/01 01:10,19.255,0.84,0.01173,21.265,0.539,0.00848,
2022/04/01 01:20,19.205,0.84,0.01169,21.192,0.544,0.00852,
2022/04/01 01:30,19.155,0.84,0.01166,21.132,0.549,0.00857,
2022/04/01 01:40,19.105,0.84,0.01162,21.083,0.554,0.00862,
2022/04/01 01:50,19.055,0.84,0.01158,21.04,0.559,0.00867,
2022/04/01 02:00,19.005,0.84,0.01155,21.003,0.563,0.00872,
2022/04/01 02:10,19.0,0.837,0.0115,20.97,0.567,0.00876,
2022/04/01 02:20,19.0,0.834,0.01145,20.94,0.571,0.0088,
2022/04/01 02:30,19.0,0.83,0.01141,20.912,0.574,0.00884,
2022/04/01 02:40,19.0,0.827,0.01136,20.885,0.577,0.00888,
2022/04/01 02:50,19.0,0.824,0.01131,20.858,0.58,0.00891,
2022/04/01 03:00,19.0,0.82,0.01127,20.831,0.583,0.00894,
2022/04/01 03:10,18.88,0.82,0.01118,20.799,0.585,0.00896,
2022/04/01 03:20,18.747,0.82,0.01109,20.756,0.588,0.00897,
2022/04/01 03:30,18.613,0.82,0.01099,20.708,0.59,0.00897,
2022/04/01 03:40,18.48,0.82,0.0109,20.654,0.592,0.00897,
2022/04/01 03:50,18.347,0.82,0.01081,20.596,0.594,0.00897,
2022/04/01 04:00,18.213,0.82,0.01071,20.535,0.595,0.00896,
2022/04/01 04:10,18.125,0.82,0.01065,20.475,0.597,0.00895,
2022/04/01 04:20,18.042,0.82,0.0106,20.416,0.599,0.00895,
2022/04/01 04:30,17.958,0.82,0.01054,20.358,0.6,0.00894,
2022/04/01 04:40,17.875,0.82,0.01048,20.301,0.602,0.00893,
2022/04/01 04:50,17.792,0.82,0.01043,20.244,0.603,0.00892,
2022/04/01 05:00,17.708,0.82,0.01037,20.186,0.605,0.00891,
2022/04/01 05:10,17.76,0.811,0.01029,20.13,0.606,0.00889,
2022/04/01 05:20,17.827,0.801,0.0102,20.08,0.607,0.00888,
2022/04/01 05:30,17.893,0.791,0.01011,20.031,0.608,0.00886,
2022/04/01 05:40,17.96,0.781,0.01003,19.985,0.608,0.00885,
2022/04/01 05:50,18.027,0.771,0.00994,19.939,0.609,0.00883,
2022/04/01 06:00,18.093,0.761,0.00985,19.895,0.609,0.00881,
2022/04/01 06:10,17.98,0.763,0.00981,19.847,0.609,0.00879,
2022/04/01 06:20,17.847,0.766,0.00977,19.793,0.61,0.00876,
2022/04/01 06:30,17.713,0.77,0.00973,19.736,0.61,0.00874,
2022/04/01 06:40,17.58,0.773,0.00969,19.677,0.61,0.00871,
2022/04/01 06:50,17.447,0.776,0.00965,19.615,0.611,0.00868,
2022/04/01 07:00,17.313,0.78,0.00961,19.552,0.611,0.00866,
2022/04/01 07:10,17.315,0.771,0.0095,19.49,0.612,0.00863,
2022/04/01 07:20,17.332,0.761,0.00938,19.43,0.612,0.0086,
2022/04/01 07:30,17.348,0.751,0.00927,19.37,0.612,0.00856,
2022/04/01 07:40,17.365,0.741,0.00915,19.311,0.611,0.00853,
2022/04/01 07:50,17.382,0.731,0.00904,19.252,0.611,0.00849,
2022/04/01 08:00,17.398,0.721,0.00892,19.194,0.61,0.00845,
2022/04/01 08:10,17.475,0.72,0.00895,19.143,0.61,0.00842,
2022/04/01 08:20,17.558,0.72,0.009,19.105,0.61,0.0084,
2022/04/01 08:30,17.642,0.72,0.00905,19.077,0.61,0.00838,
2022/04/01 08:40,17.725,0.72,0.0091,19.055,0.61,0.00837,
2022/04/01 08:50,17.808,0.72,0.00915,19.038,0.611,0.00837,
2022/04/01 09:00,17.892,0.72,0.0092,19.025,0.611,0.00837,
2022/04/01 09:10,17.78,0.726,0.00921,19.007,0.611,0.00836,
2022/04/01 09:20,17.647,0.732,0.00921,18.979,0.612,0.00835,
2022/04/01 09:30,17.513,0.739,0.00922,18.944,0.612,0.00834,
2022/04/01 09:40,17.38,0.746,0.00922,18.906,0.612,0.00832,
2022/04/01 09:50,17.247,0.752,0.00923,18.865,0.613,0.00831,
2022/04/01 10:00,17.113,0.759,0.00923,18.823,0.614,0.0083,
2022/04/01 10:10,17.025,0.762,0.00921,18.78,0.614,0.00828,
2022/04/01 10:20,16.942,0.763,0.00918,18.737,0.615,0.00827,
2022/04/01 10:30,16.858,0.765,0.00915,18.693,0.615,0.00825,
2022/04/01 10:40,16.775,0.767,0.00912,18.649,0.616,0.00824,
2022/04/01 10:50,16.692,0.768,0.00909,18.605,0.616,0.00822,
2022/04/01 11:00,16.608,0.77,0.00906,18.56,0.617,0.0082,
2022/04/01 11:10,16.81,0.757,0.00903,18.524,0.617,0.00819,
2022/04/01 11:20,17.043,0.744,0.009,18.502,0.617,0.00818,
2022/04/01 11:30,17.277,0.73,0.00897,18.489,0.618,0.00818,
2022/04/01 11:40,17.51,0.717,0.00894,18.483,0.618,0.00817,
2022/04/01 11:50,17.743,0.704,0.0089,18.482,0.617,0.00817,
2022/04/01 12:00,17.977,0.691,0.00887,18.484,0.617,0.00817,
2022/04/01 12:10,17.91,0.689,0.0088,18.479,0.617,0.00816,
2022/04/01 12:20,17.81,0.687,0.00872,18.458,0.616,0.00814,
2022/04/01 12:30,17.71,0.685,0.00865,18.427,0.615,0.00811,
2022/04/01 12:40,17.61,0.684,0.00857,18.39,0.614,0.00808,
