,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,20.193,0.498,0.00733,
2022/04/01 00:20,19.71,0.833,0.01198,20.117,0.501,0.00733,
2022/04/01 00:30,19.61,0.835,0.01192,20.1,0.501,0.00732,
2022/04/01 00:40,19.51,0.837,0.01187,20.1,0.501,0.00732,
2022/04/01 00:50,19.41,0.838,0.01182,20.11,0.501,0.00733,
2022/04/01 01:00,19.31,0.84,0.01177,20.123,0.501,0.00733,
2022/04/01 01:10,19.255,0.84,0.01173,20.135,0.501,0.00734,
2022/04/01 01:20,19.205,0.84,0.01169,20.143,0.501,0.00734,
2022/04/01 01:30,19.155,0.84,0.01166,20.148,0.501,0.00734,
2022/04/01 01:40,19.105,0.84,0.01162,20.147,0.501,0.00734,
2022/04/01 01:50,19.055,0.84,0.01158,20.142,0.501,0.00734,
2022/04/01 02:00,19.005,0.84,0.01155,20.133,0.501,0.00733,
2022/04/01 02:10,19.0,0.837,0.0115,20.121,0.501,0.00733,
2022/04/01 02:20,19.0,0.834,0.01145,20.106,0.501,0.00732,
2022/04/01 02:30,19.0,0.83,0.01141,20.088,0.501,0.00731,
2022/04/01 02:40,19.0,0.827,0.01136,20.068,0.501,0.0073,
2022/04/01 02:50,19.0,0.824,0.01131,20.046,0.501,0.00729,
2022/04/01 03:00,19.0,0.82,0.01127,20.022,0.5,0.00728,
2022/04/01 03:10,18.88,0.82,0.01118,19.998,0.5,0.00727,
2022/04/01 03:20,18.747,0.82,0.01109,19.973,0.5,0.00726,
2022/04/01 03:30,18.613,0.82,0.01099,19.948,0.5,0.00724,
2022/04/01 03:40,18.48,0.82,0.0109,19.921,0.5,0.00723,
2022/04/01 03:50,18.347,0.82,0.01081,19.894,0.5,0.00722,
2022/04/01 04:00,18.213,0.82,0.01071,19.866,0.5,0.0072,
2022/04/01 04:10,18.125,0.82,0.01065,19.835,0.5,0.00719,
2022/04/01 04:20,18.042,0.82,0.0106,19.802,0.5,0.00717,
2022/04/01 04:30,17.958,0.82,0.01054,19.767,0.5,0.00716,
2022/04/01 04:40,17.875,0.82,0.01048,19.73,0.5,0.00714,
2022/04/01 04:50,17.792,0.82,0.01043,19.69,0.5,0.00712,
2022/04/01 05:00,17.708,0.82,0.01037,19.649,0.5,0.0071,
2022/04/01 05:10,17.76,0.811,0.01029,19.606,0.5,0.00708,
2022/04/01 05:20,17.827,0.801,0.0102,19.561,0.499,0.00706,
2022/04/01 05:30,17.893,0.791,0.01011,19.515,0.499,0.00704,
2022/04/01 05:40,17.96,0.781,0.01003,19.468,0.499,0.00701,
2022/04/01 05:50,18.027,0.771,0.00994,19.421,0.499,0.00699,
2022/04/01 06:00,18.093,0.761,0.00985,19.373,0.499,0.00697,
2022/04/01 06:10,17.98,0.763,0.00981,19.326,0.499,0.00695,
2022/04/01 06:20,17.847,0.766,0.00977,19.28,0.499,0.00693,
2022/04/01 06:30,17.713,0.77,0.00973,19.235,0.499,0.00691,
2022/04/01 06:40,17.58,0.773,0.00969,19.192,0.499,0.00689,
2022/04/01 06:50,17.447,0.776,0.00965,19.15,0.499,0.00687,
2022/04/01 07:00,17.313,0.78,0.00961,19.109,0.499,0.00685,
2022/04/01 07:10,17.315,0.771,0.0095,19.068,0.499,0.00683,
2022/04/01 07:20,17.332,0.761,0.00938,19.027,0.499,0.00681,
2022/04/01 07:30,17.348,0.751,0.00927,18.985,0.498,0.00679,
2022/04/01 07:40,17.365,0.741,0.00915,18.942,0.498,0.00677,
2022/04/01 07:50,17.382,0.731,0.00904,18.898,0.498,0.00675,
2022/04/01 08:00,17.398,0.721,0.00892,18.853,0.498,0.00673,
2022/04/01 08:10,17.475,0.72,0.00895,18.808,0.498,0.00671,
2022/04/01 08:20,17.558,0.72,0.009,18.762,0.498,0.00669,
2022/04/01 08:30,17.642,0.72,0.00905,18.717,0.498,0.00667,
2022/04/01 08:40,17.725,0.72,0.0091,18.674,0.498,0.00665,
2022/04/01 08:50,17.808,0.72,0.00915,18.632,0.498,0.00663,
2022/04/01 09:00,17.892,0.72,0.0092,18.593,0.498,0.00662,
2022/04/01 09:10,17.78,0.726,0.00921,18.558,0.498,0.0066,
2022/04/01 09:20,17.647,0.732,0.00921,18.526,0.498,0.00659,
2022/04/01 09:30,17.513,0.739,0.00922,18.498,0.498,0.00657,
2022/04/01 09:40,17.38,0.746,0.00922,18.473,0.498,0.00656,
2022/04/01 09:50,17.247,0.752,0.00923,18.449,0.498,0.00655,
2022/04/01 10:00,17.113,0.759,0.00923,18.426,0.498,0.00654,
2022/04/01 10:10,17.025,0.762,0.00921,18.404,0.497,0.00653,
2022/04/01 10:20,16.942,0.763,0.00918,18.38,0.497,0.00652,
2022/04/01 10:30,16.858,0.765,0.00915,18.355,0.497,0.00651,
2022/04/01 10:40,16.775,0.767,0.00912,18.329,0.497,0.0065,
2022/04/01 10:50,16.692,0.768,0.00909,18.3,0.497,0.00649,
2022/04/01 11:00,16.608,0.77,0.00906,18.269,0.497,0.00647,
2022/04/01 11:10,16.81,0.757,0.00903,18.237,0.497,0.00646,
2022/04/01 11:20,17.043,0.744,0.009,18.202,0.497,0.00645,
2022/04/01 11:30,17.277,0.73,0.00897,18.165,0.497,0.00643,
2022/04/01 11:40,17.51,0.717,0.00894,18.128,0.497,0.00641,
2022/04/01 11:50,17.743,0.704,0.0089,18.091,0.497,0.0064,
2022/04/01 12:00,17.977,0.691,0.00887,18.056,0.497,0.00638,
2022/04/01 12:10,17.91,0.689,0.0088,18.023,0.497,0.00637,
2022/04/01 12:20,17.81,0.687,0.00872,17.995,0.497,0.00636,
2022/04/01 12:30,17.71,0.685,0.00865,17.971,0.497,0.00635,
2022/04/01 12:40,17.61,0.684,0.00857,17.952,0.497,0.00634,
