,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,20.254,0.509,0.00751,
2022/04/01 00:20,19.71,0.833,0.01198,20.208,0.516,0.0076,
2022/04/01 00:30,19.61,0.835,0.01192,20.209,0.521,0.00767,
2022/04/01 00:40,19.51,0.837,0.01187,20.221,0.525,0.00774,
2022/04/01 00:50,19.41,0.838,0.01182,20.239,0.529,0.00781,
2022/04/01 01:00,19.31,0.84,0.01177,20.259,0.533,0.00788,
2022/04/01 01:10,19.255,0.84,0.01173,20.276,0.537,0.00794,
2022/04/01 01:20,19.205,0.84,0.01169,20.289,0.54,0.00799,
2022/04/01 01:30,19.155,0.84,0.01166,20.297,0.543,0.00804,
2022/04/01 01:40,19.105,0.84,0.01162,20.301,0.546,0.00809,
2022/04/01 01:50,19.055,0.84,0.01158,20.299,0.548,0.00812,
2022/04/01 02:00,19.005,0.84,0.01155,20.293,0.551,0.00816,
2022/04/01 02:10,19.0,0.837,0.0115,20.283,0.553,0.00819,
2022/04/01 02:20,19.0,0.834,0.01145,20.271,0.555,0.00821,
2022/04/01 02:30,19.0,0.83,0.01141,20.255,0.557,0.00824,
2022/04/01 02:40,19.0,0.827,0.01136,20.238,0.559,0.00826,
2022/04/01 02:50,19.0,0.824,0.01131,20.218,0.561,0.00827,
2022/04/01 03:00,19.0,0.82,0.01127,20.197,0.563,0.00829,
2022/04/01 03:10,18.88,0.82,0.01118,20.172,0.564,0.0083,
2022/04/01 03:20,18.747,0.82,0.01109,20.146,0.566,0.00831,
2022/04/01 03:30,18.613,0.82,0.01099,20.118,0.567,0.00831,
2022/04/01 03:40,18.48,0.82,0.0109,20.089,0.568,0.00831,
2022/04/01 03:50,18.347,0.82,0.01081,20.058,0.569,0.00831,
2022/04/01 04:00,18.213,0.82,0.01071,20.026,0.57,0.00831,
2022/04/01 04:10,18.125,0.82,0.01065,19.992,0.571,0.00831,
2022/04/01 04:20,18.042,0.82,0.0106,19.957,0.572,0.0083,
2022/04/01 04:30,17.958,0.82,0.01054,19.919,0.573,0.00829,
2022/04/01 04:40,17.875,0.82,0.01048,19.879,0.574,0.00828,
2022/04/01 04:50,17.792,0.82,0.01043,19.837,0.574,0.00827,
2022/04/01 05:00,17.708,0.82,0.01037,19.793,0.575,0.00826,
2022/04/01 05:10,17.76,0.811,0.01029,19.749,0.576,0.00824,
2022/04/01 05:20,17.827,0.801,0.0102,19.704,0.576,0.00823,
2022/04/01 05:30,17.893,0.791,0.01011,19.657,0.576,0.00821,
2022/04/01 05:40,17.96,0.781,0.01003,19.61,0.577,0.00819,
2022/04/01 05:50,18.027,0.771,0.00994,19.562,0.577,0.00817,
2022/04/01 06:00,18.093,0.761,0.00985,19.514,0.577,0.00815,
2022/04/01 06:10,17.98,0.763,0.00981,19.465,0.577,0.00812,
2022/04/01 06:20,17.847,0.766,0.00977,19.416,0.578,0.0081,
2022/04/01 06:30,17.713,0.77,0.00973,19.368,0.578,0.00808,
2022/04/01 06:40,17.58,0.773,0.00969,19.321,0.578,0.00806,
2022/04/01 06:50,17.447,0.776,0.00965,19.276,0.579,0.00804,
2022/04/01 07:00,17.313,0.78,0.00961,19.231,0.579,0.00802,
2022/04/01 07:10,17.315,0.771,0.0095,19.187,0.579,0.008,
2022/04/01 07:20,17.332,0.761,0.00938,19.143,0.579,0.00798,
2022/04/01 07:30,17.348,0.751,0.00927,19.098,0.579,0.00796,
2022/04/01 07:40,17.365,0.741,0.00915,19.052,0.579,0.00793,
2022/04/01 07:50,17.382,0.731,0.00904,19.005,0.578,0.0079,
2022/04/01 08:00,17.398,0.721,0.00892,18.957,0.578,0.00788,
2022/04/01 08:10,17.475,0.72,0.00895,18.911,0.578,0.00785,
2022/04/01 08:20,17.558,0.72,0.009,18.866,0.578,0.00783,
2022/04/01 08:30,17.642,0.72,0.00905,18.823,0.578,0.00781,
2022/04/01 08:40,17.725,0.72,0.0091,18.782,0.578,0.00779,
2022/04/01 08:50,17.808,0.72,0.00915,18.744,0.578,0.00777,
2022/04/01 09:00,17.892,0.72,0.0092,18.709,0.578,0.00776,
2022/04/01 09:10,17.78,0.726,0.00921,18.674,0.579,0.00775,
2022/04/01 09:20,17.647,0.732,0.00921,18.642,0.579,0.00774,
2022/04/01 09:30,17.513,0.739,0.00922,18.612,0.58,0.00773,
2022/04/01 09:40,17.38,0.746,0.00922,18.585,0.58,0.00772,
2022/04/01 09:50,17.247,0.752,0.00923,18.559,0.58,0.00771,
2022/04/01 10:00,17.113,0.759,0.00923,18.534,0.581,0.00771,
2022/04/01 10:10,17.025,0.762,0.00921,18.51,0.581,0.0077,
2022/04/01 10:20,16.942,0.763,0.00918,18.484,0.582,0.00769,
2022/04/01 10:30,16.858,0.765,0.00915,18.457,0.582,0.00768,
2022/04/01 10:40,16.775,0.767,0.00912,18.428,0.582,0.00767,
2022/04/01 10:50,16.692,0.768,0.00909,18.396,0.582,0.00766,
2022/04/01 11:00,16.608,0.77,0.00906,18.363,0.583,0.00765,
2022/04/01 11:10,16.81,0.757,0.00903,18.332,0.583,0.00764,
2022/04/01 11:20,17.043,0.744,0.009,18.3,0.583,0.00762,
2022/04/01 11:30,17.277,0.73,0.00897,18.268,0.583,0.00761,
2022/04/01 11:40,17.51,0.717,0.00894,18.235,0.583,0.00759,
2022/04/01 11:50,17.743,0.704,0.0089,18.203,0.583,0.00758,
2022/04/01 12:00,17.977,0.691,0.00887,18.173,0.583,0.00756,
2022/04/01 12:10,17.91,0.689,0.0088,18.141,0.583,0.00755,
2022/04/01 12:20,17.81,0.687,0.00872,18.111,0.583,0.00754,
2022/04/01 12:30,17.71,0.685,0.00865,18.085,0.583,0.00752,
2022/04/01 12:40,17.61,0.684,0.00857,18.062,0.583,0.00751,
