,climate,climate,climate,climate,wall1,wall1,wall1,wall1,wall2,wall2,wall2,wall2,wall3,wall3,wall3,wall3,wall4,wall4,wall4,wall4,wall5,wall5,wall5,wall5,wall6,wall6,wall6,wall6,wall7,wall7,wall7,wall7,wall8,wall8,wall8,wall8,wall9,wall9,wall9,wall9,wall10,wall10,wall10,wall10,wall11,wall11,wall11,wall11,wall12,wall12,wall12,wall12,wall13,wall13,wall13,wall13,wall14,wall14,wall14,wall14,wall15,wall15,wall15,wall15,wall16,wall16,wall16,wall16,indoor,indoor,indoor,indoor,
 ,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,
2022/04/01 00:00,19.9,0.83,0.01207,Error,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,10.0,0.56,0.00425,0.05131,25.0,0.5,0.00988,Error,
2022/04/01 00:10,19.81,0.832,0.01203,Error,15.314,0.666,0.0072,0.0634,13.445,0.564,0.00538,0.05131,12.034,0.562,0.00489,0.05131,11.097,0.561,0.00459,0.05131,10.541,0.561,0.00441,0.05131,10.245,0.56,0.00432,0.05131,10.102,0.56,0.00428,0.05131,10.041,0.56,0.00426,0.05131,10.019,0.56,0.00426,0.05131,10.017,0.56,0.00426,0.05131,10.027,0.56,0.00426,0.05131,10.049,0.56,0.00426,0.05131,10.081,0.56,0.00427,0.05131,10.117,0.56,0.00428,0.05131,10.144,0.56,0.00429,0.05131,10.149,0.56,0.0043,0.05133,10.183,0.544,0.00418,Error,
2022/04/01 00:20,19.71,0.833,0.01198,Error,16.194,0.724,0.00829,0.07199,14.702,0.565,0.00586,0.05132,13.39,0.564,0.00536,0.05131,12.331,0.563,0.00499,0.05131,11.529,0.562,0.00472,0.05131,10.957,0.561,0.00454,0.05131,10.573,0.561,0.00442,0.05131,10.333,0.56,0.00435,0.05131,10.193,0.56,0.00431,0.05131,10.12,0.56,0.00429,0.05131,10.089,0.56,0.00428,0.05131,10.081,0.56,0.00427,0.05131,10.086,0.56,0.00428,0.05131,10.095,0.56,0.00428,0.05131,10.102,0.56,0.00428,0.05131,10.105,0.56,0.00428,0.05131,10.108,0.559,0.00428,Error,
2022/04/01 00:30,19.61,0.835,0.01192,Error,16.575,0.762,0.00895,0.07874,15.328,0.566,0.00611,0.05132,14.161,0.565,0.00565,0.05131,13.149,0.564,0.00528,0.05131,12.308,0.563,0.00498,0.05131,11.639,0.562,0.00476,0.05131,11.13,0.561,0.0046,0.05131,10.759,0.561,0.00448,0.05131,10.501,0.561,0.0044,0.05131,10.33,0.56,0.00435,0.05131,10.223,0.56,0.00432,0.05131,10.16,0.56,0.0043,0.05131,10.126,0.56,0.00429,0.05131,10.109,0.56,0.00428,0.05131,10.102,0.56,0.00428,0.05131,10.1,0.56,0.00428,0.05131,10.099,0.56,0.00428,Error,
2022/04/01 00:40,19.51,0.837,0.01187,Error,16.767,0.789,0.00939,0.08427,15.693,0.567,0.00626,0.05132,14.65,0.565,0.00584,0.05131,13.709,0.564,0.00548,0.05131,12.888,0.563,0.00518,0.05131,12.196,0.563,0.00495,0.05131,11.632,0.562,0.00476,0.05131,11.187,0.561,0.00461,0.05131,10.848,0.561,0.00451,0.05131,10.598,0.561,0.00443,0.05131,10.421,0.56,0.00438,0.05131,10.3,0.56,0.00434,0.05131,10.22,0.56,0.00432,0.05131,10.172,0.56,0.0043,0.05131,10.146,0.56,0.00429,0.05131,10.138,0.56,0.00429,0.05131,10.13,0.56,0.00429,Error,
2022/04/01 00:50,19.41,0.838,0.01182,Error,16.868,0.81,0.00971,0.08893,15.921,0.567,0.00636,0.05133,14.98,0.566,0.00597,0.05131,14.109,0.565,0.00563,0.05131,13.326,0.564,0.00534,0.05131,12.641,0.563,0.0051,0.05131,12.058,0.562,0.0049,0.05131,11.576,0.562,0.00474,0.05131,11.187,0.561,0.00461,0.05131,10.882,0.561,0.00452,0.05131,10.651,0.561,0.00445,0.05131,10.481,0.561,0.00439,0.05131,10.361,0.56,0.00436,0.05131,10.283,0.56,0.00433,0.05131,10.238,0.56,0.00432,0.05131,10.223,0.56,0.00432,0.05131,10.209,0.561,0.00432,Error,
2022/04/01 01:00,19.31,0.84,0.01177,Error,16.918,0.827,0.00994,0.09292,16.07,0.567,0.00642,0.05133,15.213,0.566,0.00606,0.05131,14.405,0.565,0.00574,0.05131,13.663,0.564,0.00546,0.05131,12.998,0.563,0.00522,0.05131,12.416,0.563,0.00502,0.05131,11.917,0.562,0.00485,0.05131,11.501,0.562,0.00472,0.05131,11.162,0.561,0.00461,0.05131,10.893,0.561,0.00452,0.05131,10.687,0.561,0.00446,0.05131,10.536,0.561,0.00441,0.05131,10.433,0.56,0.00438,0.05131,10.373,0.56,0.00436,0.05131,10.353,0.56,0.00436,0.05131,10.332,0.561,0.00435,Error,
2022/04/01 01:10,19.255,0.84,0.01173,Error,16.947,0.841,0.01013,0.09639,16.174,0.567,0.00647,0.05134,15.383,0.566,0.00613,0.05131,14.631,0.565,0.00583,0.05131,13.929,0.564,0.00556,0.05131,13.289,0.564,0.00533,0.05131,12.717,0.563,0.00512,0.05131,12.216,0.563,0.00495,0.05131,11.787,0.562,0.00481,0.05131,11.428,0.562,0.00469,0.05131,11.136,0.561,0.0046,0.05131,10.906,0.561,0.00453,0.05131,10.733,0.561,0.00447,0.05131,10.613,0.561,0.00443,0.05131,10.542,0.561,0.00441,0.05131,10.517,0.561,0.00441,0.05131,10.492,0.561,0.0044,Error,
2022/04/01 01:20,19.205,0.84,0.01169,Error,16.963,0.852,0.01028,0.09945,16.251,0.567,0.0065,0.05134,15.515,0.566,0.00619,0.05131,14.81,0.565,0.0059,0.05131,14.145,0.565,0.00565,0.05131,13.531,0.564,0.00542,0.05131,12.975,0.563,0.00521,0.05131,12.479,0.563,0.00504,0.05131,12.048,0.562,0.0049,0.05131,11.68,0.562,0.00477,0.05131,11.375,0.562,0.00467,0.05131,11.13,0.561,0.0046,0.05131,10.943,0.561,0.00454,0.05131,10.812,0.561,0.0045,0.05131,10.733,0.561,0.00447,0.05131,10.706,0.561,0.00446,0.05131,10.678,0.562,0.00446,Error,
