,climate,climate,climate,climate,wall1,wall1,wall1,wall1,wall2,wall2,wall2,wall2,wall3,wall3,wall3,wall3,wall4,wall4,wall4,wall4,wall5,wall5,wall5,wall5,wall6,wall6,wall6,wall6,wall7,wall7,wall7,wall7,wall8,wall8,wall8,wall8,wall9,wall9,wall9,wall9,wall10,wall10,wall10,wall10,wall11,wall11,wall11,wall11,wall12,wall12,wall12,wall12,wall13,wall13,wall13,wall13,wall14,wall14,wall14,wall14,wall15,wall15,wall15,wall15,wall16,wall16,wall16,wall16,wall17,wall17,wall17,wall17,wall18,wall18,wall18,wall18,wall19,wall19,wall19,wall19,wall20,wall20,wall20,wall20,wall21,wall21,wall21,wall21,indoor,indoor,indoor,indoor,
 ,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,
2022/04/01 00:00,19.9,0.83,0.01207,Error,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.04454,20.0,0.5,0.00726,0.00023,20.0,0.5,0.00726,0.00023,20.0,0.5,0.00726,0.00023,20.0,0.5,0.00726,0.00023,20.0,0.5,0.00726,0.00023,25.0,0.5,0.00988,Error,
2022/04/01 00:10,19.81,0.832,0.01203,Error,21.526,0.577,0.00923,0.05172,21.025,0.501,0.00776,0.04454,20.623,0.501,0.00756,0.04454,20.343,0.5,0.00743,0.04454,20.172,0.5,0.00734,0.04454,20.079,0.5,0.0073,0.04454,20.033,0.5,0.00728,0.04454,20.013,0.5,0.00727,0.04454,20.005,0.5,0.00726,0.04454,20.002,0.5,0.00726,0.04454,20.001,0.5,0.00726,0.04454,20.001,0.5,0.00726,0.04454,20.003,0.5,0.00726,0.04454,20.006,0.5,0.00727,0.04454,20.011,0.5,0.00727,0.04454,20.018,0.5,0.00727,0.04454,20.368,0.514,0.00764,0.00024,20.867,0.508,0.00779,0.00024,21.292,0.508,0.008,0.00024,21.727,0.506,0.00818,0.00024,22.438,0.495,0.00837,0.00023,22.523,0.495,0.00841,Error,
2022/04/01 00:20,19.71,0.833,0.01198,Error,21.511,0.62,0.00992,0.05658,21.205,0.501,0.00785,0.04454,20.906,0.501,0.0077,0.04454,20.645,0.501,0.00757,0.04454,20.435,0.501,0.00747,0.04454,20.278,0.5,0.00739,0.04454,20.168,0.5,0.00734,0.04454,20.097,0.5,0.00731,0.04454,20.054,0.5,0.00729,0.04454,20.029,0.5,0.00728,0.04454,20.017,0.5,0.00727,0.04454,20.012,0.5,0.00727,0.04454,20.012,0.5,0.00727,0.04454,20.015,0.5,0.00727,0.04454,20.021,0.5,0.00727,0.04454,20.027,0.5,0.00728,0.04454,20.295,0.522,0.00773,0.00024,20.75,0.512,0.0078,0.00024,21.135,0.507,0.0079,0.00024,21.486,0.503,0.00801,0.00024,21.968,0.497,0.00816,0.00023,22.02,0.498,0.0082,Error,
2022/04/01 00:30,19.61,0.835,0.01192,Error,21.379,0.649,0.01031,0.06028,21.189,0.501,0.00784,0.04454,20.979,0.501,0.00774,0.04454,20.774,0.501,0.00764,0.04454,20.588,0.501,0.00755,0.04454,20.43,0.501,0.00747,0.04454,20.303,0.5,0.00741,0.04454,20.206,0.5,0.00736,0.04454,20.136,0.5,0.00733,0.04454,20.088,0.5,0.0073,0.04454,20.057,0.5,0.00729,0.04454,20.039,0.5,0.00728,0.04454,20.031,0.5,0.00728,0.04454,20.028,0.5,0.00728,0.04454,20.031,0.5,0.00728,0.04454,20.035,0.5,0.00728,0.04454,20.246,0.525,0.00774,0.00024,20.638,0.515,0.00778,0.00024,20.984,0.508,0.00784,0.00024,21.285,0.503,0.00792,0.00024,21.658,0.5,0.00805,0.00023,21.694,0.501,0.00809,Error,
2022/04/01 00:40,19.51,0.837,0.01187,Error,21.225,0.671,0.01056,0.06323,21.109,0.501,0.00781,0.04454,20.966,0.501,0.00773,0.04454,20.812,0.501,0.00766,0.04454,20.662,0.501,0.00758,0.04454,20.522,0.501,0.00751,0.04454,20.4,0.5,0.00745,0.04454,20.299,0.5,0.0074,0.04454,20.217,0.5,0.00737,0.04454,20.156,0.5,0.00734,0.04454,20.111,0.5,0.00731,0.04454,20.08,0.5,0.0073,0.04454,20.061,0.5,0.00729,0.04454,20.051,0.5,0.00729,0.04454,20.048,0.5,0.00729,0.04454,20.051,0.5,0.00729,0.04455,20.223,0.525,0.00774,0.00024,20.561,0.516,0.00777,0.00024,20.867,0.509,0.00781,0.00024,21.129,0.505,0.00787,0.00024,21.434,0.503,0.00799,0.00024,21.462,0.505,0.00803,Error,
2022/04/01 00:50,19.41,0.838,0.01182,Error,21.07,0.687,0.01072,0.06566,21.007,0.501,0.00775,0.04455,20.913,0.501,0.00771,0.04454,20.803,0.501,0.00765,0.04454,20.685,0.501,0.00759,0.04454,20.57,0.501,0.00754,0.04454,20.462,0.501,0.00748,0.04454,20.366,0.5,0.00744,0.04454,20.284,0.5,0.0074,0.04454,20.217,0.5,0.00737,0.04454,20.165,0.5,0.00734,0.04454,20.126,0.5,0.00732,0.04454,20.099,0.5,0.00731,0.04454,20.083,0.5,0.0073,0.04454,20.076,0.5,0.0073,0.04454,20.077,0.5,0.0073,0.04455,20.221,0.525,0.00774,0.00024,20.513,0.517,0.00776,0.00024,20.782,0.511,0.00779,0.00024,21.01,0.507,0.00785,0.00024,21.267,0.507,0.00797,0.00024,21.288,0.508,0.008,Error,
2022/04/01 01:00,19.31,0.84,0.01177,Error,20.921,0.701,0.01084,0.06771,20.896,0.501,0.0077,0.04455,20.841,0.501,0.00767,0.04454,20.766,0.501,0.00763,0.04454,20.678,0.501,0.00759,0.04454,20.586,0.501,0.00754,0.04454,20.495,0.501,0.0075,0.04454,20.41,0.5,0.00746,0.04454,20.334,0.5,0.00742,0.04454,20.268,0.5,0.00739,0.04454,20.214,0.5,0.00736,0.04454,20.172,0.5,0.00734,0.04454,20.141,0.5,0.00733,0.04454,20.121,0.5,0.00732,0.04454,20.111,0.5,0.00731,0.04454,20.11,0.5,0.00732,0.04456,20.234,0.525,0.00774,0.00024,20.487,0.518,0.00776,0.00024,20.722,0.513,0.00779,0.00024,20.921,0.51,0.00784,0.00024,21.139,0.51,0.00796,0.00024,21.156,0.512,0.008,Error,
2022/04/01 01:10,19.255,0.84,0.01173,Error,20.79,0.712,0.01092,0.06947,20.789,0.501,0.00765,0.04455,20.762,0.501,0.00763,0.04454,20.714,0.501,0.00761,0.04454,20.652,0.501,0.00758,0.04454,20.582,0.501,0.00754,0.04454,20.508,0.501,0.00751,0.04454,20.436,0.501,0.00747,0.04454,20.368,0.5,0.00744,0.04454,20.308,0.5,0.00741,0.04454,20.256,0.5,0.00738,0.04454,20.214,0.5,0.00736,0.04454,20.182,0.5,0.00735,0.04454,20.16,0.5,0.00734,0.04454,20.149,0.5,0.00733,0.04454,20.148,0.5,0.00734,0.04456,20.256,0.525,0.00775,0.00024,20.476,0.519,0.00777,0.00024,20.683,0.515,0.0078,0.00024,20.856,0.512,0.00785,0.00024,21.041,0.514,0.00797,0.00024,21.054,0.516,0.00801,Error,
2022/04/01 01:20,19.205,0.84,0.01169,Error,20.672,0.721,0.01098,0.07101,20.69,0.501,0.0076,0.04456,20.684,0.501,0.00759,0.04454,20.657,0.501,0.00758,0.04454,20.616,0.501,0.00756,0.04454,20.564,0.501,0.00753,0.04454,20.507,0.501,0.00751,0.04454,20.447,0.501,0.00748,0.04454,20.39,0.5,0.00745,0.04454,20.337,0.5,0.00742,0.04454,20.29,0.5,0.0074,0.04454,20.251,0.5,0.00738,0.04454,20.22,0.5,0.00737,0.04454,20.199,0.5,0.00736,0.04454,20.188,0.5,0.00735,0.04454,20.187,0.501,0.00736,0.04456,20.283,0.525,0.00776,0.00024,20.477,0.52,0.00779,0.00024,20.658,0.516,0.00782,0.00024,20.809,0.515,0.00787,0.00024,20.968,0.518,0.00799,0.00024,20.978,0.52,0.00803,Error,
