,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,19.9,0.83,0.01207,25.0,0.5,0.00988,
2022/04/01 00:10,19.81,0.832,0.01203,10.216,0.547,0.00421,
2022/04/01 00:20,19.71,0.833,0.01198,10.147,0.563,0.00431,
2022/04/01 00:30,19.61,0.835,0.01192,10.14,0.564,0.00432,
2022/04/01 00:40,19.51,0.837,0.01187,10.173,0.564,0.00433,
2022/04/01 00:50,19.41,0.838,0.01182,10.254,0.564,0.00436,
2022/04/01 01:00,19.31,0.84,0.01177,10.379,0.565,0.0044,
2022/04/01 01:10,19.255,0.84,0.01173,10.54,0.565,0.00445,
2022/04/01 01:20,19.205,0.84,0.01169,10.727,0.566,0.00451,
2022/04/01 01:30,19.155,0.84,0.01166,10.93,0.566,0.00457,
2022/04/01 01:40,19.105,0.84,0.01162,11.142,0.566,0.00464,
2022/04/01 01:50,19.055,0.84,0.01158,11.359,0.567,0.00471,
2022/04/01 02:00,19.005,0.84,0.01155,11.575,0.567,0.00478,
2022/04/01 02:10,19.0,0.837,0.0115,11.789,0.567,0.00486,
2022/04/01 02:20,19.0,0.834,0.01145,11.999,0.568,0.00493,
2022/04/01 02:30,19.0,0.83,0.01141,12.202,0.568,0.00499,
2022/04/01 02:40,19.0,0.827,0.01136,12.399,0.568,0.00506,
2022/04/01 02:50,19.0,0.824,0.01131,12.588,0.568,0.00513,
2022/04/01 03:00,19.0,0.82,0.01127,12.771,0.569,0.00519,
2022/04/01 03:10,18.88,0.82,0.01118,12.946,0.569,0.00526,
2022/04/01 03:20,18.747,0.82,0.01109,13.113,0.569,0.00532,
2022/04/01 03:30,18.613,0.82,0.01099,13.274,0.569,0.00537,
2022/04/01 03:40,18.48,0.82,0.0109,13.428,0.569,0.00543,
2022/04/01 03:50,18.347,0.82,0.01081,13.574,0.57,0.00549,
2022/04/01 04:00,18.213,0.82,0.01071,13.714,0.57,0.00554,
2022/04/01 04:10,18.125,0.82,0.01065,13.846,0.57,0.00559,
2022/04/01 04:20,18.042,0.82,0.0106,13.971,0.57,0.00563,
2022/04/01 04:30,17.958,0.82,0.01054,14.089,0.57,0.00568,
2022/04/01 04:40,17.875,0.82,0.01048,14.199,0.57,0.00572,
2022/04/01 04:50,17.792,0.82,0.01043,14.303,0.571,0.00576,
2022/04/01 05:00,17.708,0.82,0.01037,14.401,0.571,0.0058,
2022/04/01 05:10,17.76,0.811,0.01029,14.492,0.571,0.00584,
2022/04/01 05:20,17.827,0.801,0.0102,14.578,0.571,0.00587,
2022/04/01 05:30,17.893,0.791,0.01011,14.659,0.571,0.0059,
2022/04/01 05:40,17.96,0.781,0.01003,14.735,0.571,0.00593,
2022/04/01 05:50,18.027,0.771,0.00994,14.806,0.571,0.00596,
2022/04/01 06:00,18.093,0.761,0.00985,14.873,0.571,0.00599,
2022/04/01 06:10,17.98,0.763,0.00981,14.936,0.571,0.00601,
2022/04/01 06:20,17.847,0.766,0.00977,14.995,0.572,0.00604,
2022/04/01 06:30,17.713,0.77,0.00973,15.052,0.572,0.00606,
2022/04/01 06:40,17.58,0.773,0.00969,15.105,0.572,0.00609,
2022/04/01 06:50,17.447,0.776,0.00965,15.156,0.572,0.00611,
2022/04/01 07:00,17.313,0.78,0.00961,15.204,0.572,0.00613,
2022/04/01 07:10,17.315,0.771,0.0095,15.249,0.572,0.00615,
2022/04/01 07:20,17.332,0.761,0.00938,15.291,0.572,0.00616,
2022/04/01 07:30,17.348,0.751,0.00927,15.331,0.572,0.00618,
2022/04/01 07:40,17.365,0.741,0.00915,15.367,0.572,0.00619,
2022/04/01 07:50,17.382,0.731,0.00904,15.401,0.572,0.00621,
2022/04/01 08:00,17.398,0.721,0.00892,15.431,0.572,0.00622,
2022/04/01 08:10,17.475,0.72,0.00895,15.46,0.572,0.00623,
2022/04/01 08:20,17.558,0.72,0.009,15.486,0.572,0.00624,
2022/04/01 08:30,17.642,0.72,0.00905,15.51,0.572,0.00625,
2022/04/01 08:40,17.725,0.72,0.0091,15.532,0.572,0.00626,
2022/04/01 08:50,17.808,0.72,0.00915,15.553,0.573,0.00627,
2022/04/01 09:00,17.892,0.72,0.0092,15.574,0.573,0.00628,
2022/04/01 09:10,17.78,0.726,0.00921,15.594,0.573,0.00629,
2022/04/01 09:20,17.647,0.732,0.00921,15.616,0.573,0.0063,
2022/04/01 09:30,17.513,0.739,0.00922,15.638,0.573,0.00631,
2022/04/01 09:40,17.38,0.746,0.00922,15.662,0.573,0.00632,
2022/04/01 09:50,17.247,0.752,0.00923,15.687,0.573,0.00633,
2022/04/01 10:00,17.113,0.759,0.00923,15.712,0.573,0.00635,
2022/04/01 10:10,17.025,0.762,0.00921,15.738,0.573,0.00636,
2022/04/01 10:20,16.942,0.763,0.00918,15.763,0.573,0.00637,
2022/04/01 10:30,16.858,0.765,0.00915,15.788,0.573,0.00638,
2022/04/01 10:40,16.775,0.767,0.00912,15.811,0.574,0.00639,
2022/04/01 10:50,16.692,0.768,0.00909,15.834,0.574,0.0064,
2022/04/01 11:00,16.608,0.77,0.00906,15.855,0.574,0.00641,
2022/04/01 11:10,16.81,0.757,0.00903,15.876,0.574,0.00642,
2022/04/01 11:20,17.043,0.744,0.009,15.895,0.574,0.00643,
2022/04/01 11:30,17.277,0.73,0.00897,15.912,0.574,0.00644,
2022/04/01 11:40,17.51,0.717,0.00894,15.928,0.574,0.00644,
2022/04/01 11:50,17.743,0.704,0.0089,15.944,0.574,0.00645,
2022/04/01 12:00,17.977,0.691,0.00887,15.959,0.574,0.00646,
2022/04/01 12:10,17.91,0.689,0.0088,15.974,0.574,0.00646,
2022/04/01 12:20,17.81,0.687,0.00872,15.989,0.574,0.00647,
2022/04/01 12:30,17.71,0.685,0.00865,16.006,0.574,0.00648,
2022/04/01 12:40,17.61,0.684,0.00857,16.023,0.574,0.00648,
