,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,10.9,0.89,0.00721,25.0,0.5,0.00988,
2022/04/01 00:10,10.705,0.893,0.00714,20.343,0.499,0.0074,
2022/04/01 00:20,10.488,0.897,0.00706,20.309,0.501,0.00742,
2022/04/01 00:30,10.272,0.9,0.00699,20.285,0.501,0.00741,
2022/04/01 00:40,10.055,0.903,0.00691,20.263,0.501,0.00739,
2022/04/01 00:50,9.838,0.907,0.00683,20.241,0.501,0.00738,
2022/04/01 01:00,9.622,0.91,0.00676,20.218,0.5,0.00737,
2022/04/01 01:10,9.45,0.91,0.00668,20.194,0.5,0.00736,
2022/04/01 01:20,9.283,0.91,0.00661,20.169,0.5,0.00734,
2022/04/01 01:30,9.117,0.91,0.00654,20.141,0.5,0.00732,
2022/04/01 01:40,8.95,0.91,0.00646,20.109,0.5,0.00731,
2022/04/01 01:50,8.783,0.91,0.00639,20.075,0.499,0.00729,
2022/04/01 02:00,8.617,0.91,0.00631,20.038,0.499,0.00726,
2022/04/01 02:10,8.345,0.916,0.00624,19.996,0.499,0.00724,
2022/04/01 02:20,8.062,0.923,0.00616,19.951,0.498,0.00722,
2022/04/01 02:30,7.778,0.93,0.00609,19.902,0.498,0.00719,
2022/04/01 02:40,7.495,0.936,0.00601,19.85,0.497,0.00716,
2022/04/01 02:50,7.212,0.943,0.00594,19.793,0.497,0.00713,
2022/04/01 03:00,6.928,0.949,0.00587,19.734,0.497,0.00709,
2022/04/01 03:10,6.795,0.949,0.00581,19.67,0.496,0.00706,
2022/04/01 03:20,6.678,0.947,0.00575,19.604,0.496,0.00702,
2022/04/01 03:30,6.562,0.946,0.00569,19.535,0.495,0.00698,
2022/04/01 03:40,6.445,0.944,0.00564,19.462,0.494,0.00694,
2022/04/01 03:50,6.328,0.942,0.00558,19.386,0.494,0.0069,
2022/04/01 04:00,6.212,0.94,0.00553,19.306,0.493,0.00686,
2022/04/01 04:10,5.99,0.942,0.00545,19.224,0.492,0.00681,
2022/04/01 04:20,5.757,0.944,0.00537,19.138,0.492,0.00676,
2022/04/01 04:30,5.523,0.946,0.0053,19.049,0.491,0.00672,
2022/04/01 04:40,5.29,0.947,0.00522,18.957,0.49,0.00667,
