,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,10.9,0.89,0.00721,25.0,0.5,0.00988,
2022/04/01 00:10,10.705,0.893,0.00714,19.948,0.503,0.00728,
2022/04/01 00:20,10.488,0.897,0.00706,19.791,0.505,0.00723,
2022/04/01 00:30,10.272,0.9,0.00699,19.647,0.504,0.00717,
2022/04/01 00:40,10.055,0.903,0.00691,19.507,0.504,0.0071,
2022/04/01 00:50,9.838,0.907,0.00683,19.369,0.504,0.00703,
2022/04/01 01:00,9.622,0.91,0.00676,19.233,0.503,0.00697,
2022/04/01 01:10,9.45,0.91,0.00668,19.099,0.503,0.0069,
2022/04/01 01:20,9.283,0.91,0.00661,18.966,0.502,0.00684,
2022/04/01 01:30,9.117,0.91,0.00654,18.833,0.502,0.00677,
2022/04/01 01:40,8.95,0.91,0.00646,18.699,0.501,0.00671,
2022/04/01 01:50,8.783,0.91,0.00639,18.564,0.501,0.00665,
2022/04/01 02:00,8.617,0.91,0.00631,18.428,0.5,0.00658,
2022/04/01 02:10,8.345,0.916,0.00624,18.287,0.5,0.00652,
2022/04/01 02:20,8.062,0.923,0.00616,18.142,0.499,0.00645,
2022/04/01 02:30,7.778,0.93,0.00609,17.994,0.499,0.00638,
2022/04/01 02:40,7.495,0.936,0.00601,17.843,0.498,0.00632,
2022/04/01 02:50,7.212,0.943,0.00594,17.689,0.498,0.00625,
2022/04/01 03:00,6.928,0.949,0.00587,17.532,0.497,0.00618,
2022/04/01 03:10,6.795,0.949,0.00581,17.378,0.497,0.00611,
2022/04/01 03:20,6.678,0.947,0.00575,17.225,0.496,0.00604,
2022/04/01 03:30,6.562,0.946,0.00569,17.071,0.496,0.00598,
2022/04/01 03:40,6.445,0.944,0.00564,16.918,0.495,0.00591,
2022/04/01 03:50,6.328,0.942,0.00558,16.764,0.494,0.00585,
2022/04/01 04:00,6.212,0.94,0.00553,16.609,0.494,0.00579,
2022/04/01 04:10,5.99,0.942,0.00545,16.451,0.493,0.00572,
2022/04/01 04:20,5.757,0.944,0.00537,16.288,0.493,0.00565,
2022/04/01 04:30,5.523,0.946,0.0053,16.124,0.492,0.00559,
2022/04/01 04:40,5.29,0.947,0.00522,15.957,0.492,0.00552,
