,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,10.9,0.89,0.00721,25.0,0.5,0.00988,
2022/04/01 00:10,10.705,0.893,0.00714,20.157,0.5,0.00734,
2022/04/01 00:20,10.488,0.897,0.00706,20.063,0.502,0.00733,
2022/04/01 00:30,10.272,0.9,0.00699,19.98,0.502,0.00729,
2022/04/01 00:40,10.055,0.903,0.00691,19.899,0.502,0.00724,
2022/04/01 00:50,9.838,0.907,0.00683,19.819,0.501,0.0072,
2022/04/01 01:00,9.622,0.91,0.00676,19.738,0.501,0.00716,
2022/04/01 01:10,9.45,0.91,0.00668,19.658,0.5,0.00711,
2022/04/01 01:20,9.283,0.91,0.00661,19.576,0.5,0.00707,
2022/04/01 01:30,9.117,0.91,0.00654,19.493,0.499,0.00702,
2022/04/01 01:40,8.95,0.91,0.00646,19.407,0.499,0.00698,
2022/04/01 01:50,8.783,0.91,0.00639,19.319,0.498,0.00693,
2022/04/01 02:00,8.617,0.91,0.00631,19.228,0.497,0.00688,
2022/04/01 02:10,8.345,0.916,0.00624,19.133,0.497,0.00683,
2022/04/01 02:20,8.062,0.923,0.00616,19.034,0.496,0.00678,
2022/04/01 02:30,7.778,0.93,0.00609,18.931,0.495,0.00673,
2022/04/01 02:40,7.495,0.936,0.00601,18.825,0.495,0.00667,
2022/04/01 02:50,7.212,0.943,0.00594,18.715,0.494,0.00661,
2022/04/01 03:00,6.928,0.949,0.00587,18.601,0.493,0.00656,
2022/04/01 03:10,6.795,0.949,0.00581,18.487,0.492,0.0065,
2022/04/01 03:20,6.678,0.947,0.00575,18.371,0.491,0.00644,
2022/04/01 03:30,6.562,0.946,0.00569,18.254,0.491,0.00638,
2022/04/01 03:40,6.445,0.944,0.00564,18.135,0.49,0.00632,
2022/04/01 03:50,6.328,0.942,0.00558,18.013,0.489,0.00626,
2022/04/01 04:00,6.212,0.94,0.00553,17.89,0.488,0.0062,
2022/04/01 04:10,5.99,0.942,0.00545,17.764,0.487,0.00614,
2022/04/01 04:20,5.757,0.944,0.00537,17.634,0.486,0.00608,
2022/04/01 04:30,5.523,0.946,0.0053,17.501,0.485,0.00602,
2022/04/01 04:40,5.29,0.947,0.00522,17.365,0.484,0.00595,
