temp,rh,miu,miu,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg,
20,0.0001,-1.25E+06,1.25E+06,0.23388037,0.016282845,3.70E-09,2.60E+06,1.356989957,7.08E-33,2.94E-09,7.22E-31,2.54E-15,3.21E-11,
20,0.0002,-1.15E+06,1.15E+06,0.46776074,0.016649403,4.12E-09,2.60E+06,1.358272912,8.05E-33,1.56E-09,8.21E-31,2.69E-15,3.31E-11,
20,0.0003,-1.10E+06,1.10E+06,0.70164111,0.016883181,4.40E-09,2.60E+06,1.359091133,8.74E-33,1.07E-09,8.91E-31,2.78E-15,3.38E-11,
20,0.0004,-1.06E+06,1.06E+06,0.93552148,0.017058927,4.62E-09,2.60E+06,1.359706246,9.29E-33,8.26E-10,9.48E-31,2.85E-15,3.43E-11,
20,0.0005,-1.03E+06,1.03E+06,1.16940185,0.017201436,4.81E-09,2.61E+06,1.360205025,9.77E-33,6.74E-10,9.96E-31,2.91E-15,3.46E-11,
20,0.0006,-1.00E+06,1.00E+06,1.40328222,0.017322187,4.97E-09,2.61E+06,1.360627653,1.02E-32,5.71E-10,1.04E-30,2.96E-15,3.50E-11,
20,0.0007,-983623.6679,9.84E+05,1.63716259,0.017427492,5.12E-09,2.61E+06,1.360996223,1.06E-32,4.97E-10,1.08E-30,3.00E-15,3.53E-11,
20,0.0008,-965543.1531,9.66E+05,1.87104296,0.017521217,5.25E-09,2.61E+06,1.361324261,1.09E-32,4.40E-10,1.11E-30,3.04E-15,3.55E-11,
20,0.0009,-949595.0088,9.50E+05,2.10492333,0.017605909,5.37E-09,2.61E+06,1.36162068,1.13E-32,3.95E-10,1.15E-30,3.07E-15,3.57E-11,
20,0.001,-935328.9076,9.35E+05,2.3388037,0.017683338,5.48E-09,2.61E+06,1.361891684,1.16E-32,3.59E-10,1.18E-30,3.10E-15,3.59E-11,
20,0.0011,-922423.6493,9.22E+05,2.57268407,0.017754792,5.59E-09,2.61E+06,1.362141772,1.19E-32,3.30E-10,1.21E-30,3.13E-15,3.61E-11,
20,0.0012,-910642.0715,9.11E+05,2.80656444,0.017821235,5.69E-09,2.61E+06,1.362374321,1.21E-32,3.05E-10,1.24E-30,3.16E-15,3.63E-11,
20,0.0013,-899804.0705,9.00E+05,3.04044481,0.017883408,5.78E-09,2.61E+06,1.362591928,1.24E-32,2.84E-10,1.26E-30,3.18E-15,3.65E-11,
20,0.0014,-889769.6489,8.90E+05,3.27432518,0.017941897,5.87E-09,2.61E+06,1.362796641,1.27E-32,2.65E-10,1.29E-30,3.21E-15,3.66E-11,
20,0.0015,-880427.8259,8.80E+05,3.50820555,0.017997172,5.96E-09,2.61E+06,1.362990101,1.29E-32,2.49E-10,1.32E-30,3.23E-15,3.68E-11,
20,0.0016,-871689.1341,8.72E+05,3.74208592,0.018049614,6.04E-09,2.61E+06,1.363173649,1.31E-32,2.35E-10,1.34E-30,3.25E-15,3.69E-11,
20,0.0017,-863480.395,8.63E+05,3.97596629,0.01809954,6.12E-09,2.61E+06,1.36334839,1.34E-32,2.23E-10,1.36E-30,3.27E-15,3.70E-11,
20,0.0018,-855740.9898,8.56E+05,4.20984666,0.018147215,6.20E-09,2.61E+06,1.363515252,1.36E-32,2.12E-10,1.39E-30,3.29E-15,3.72E-11,
20,0.0019,-848420.1406,8.48E+05,4.44372703,0.018192862,6.27E-09,2.61E+06,1.363675017,1.38E-32,2.01E-10,1.41E-30,3.31E-15,3.73E-11,
20,0.002,-841474.8886,8.41E+05,4.6776074,0.018236672,6.34E-09,2.61E+06,1.363828353,1.40E-32,1.92E-10,1.43E-30,3.32E-15,3.74E-11,
20,0.0021,-834868.5673,8.35E+05,4.91148777,0.018278811,6.41E-09,2.61E+06,1.363975838,1.42E-32,1.84E-10,1.45E-30,3.34E-15,3.75E-11,
