temp,rh,miu,,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg
20,0.0001,-1.25E+06,1.25E+06,0.23388037,4.02E-06,2.97E-11,684706.8118,0.22,0,2.34E-11,0,4.05E-17,5.12E-13
20,0.0002,-1.15E+06,1.15E+06,0.46776074,8.04E-06,5.94E-11,684723.6621,0.22,0,2.34E-11,0,8.09E-17,9.97E-13
20,0.0003,-1.10E+06,1.10E+06,0.70164111,1.21E-05,8.91E-11,684740.4964,0.22,0,2.34E-11,0,1.21E-16,1.47E-12
20,0.0004,-1.06E+06,1.06E+06,0.93552148,1.61E-05,1.19E-10,684757.3147,0.22,0,2.34E-11,0,1.62E-16,1.94E-12
20,0.0005,-1.03E+06,1.03E+06,1.16940185,2.01E-05,1.48E-10,684774.117,0.22,0,2.34E-11,0,2.02E-16,2.41E-12
20,0.0006,-1.00E+06,1.00E+06,1.40328222,2.41E-05,1.78E-10,684790.9034,0.22,0,2.34E-11,0,2.43E-16,2.87E-12
20,0.0007,-983623.6679,9.84E+05,1.63716259,2.81E-05,2.07E-10,684807.674,0.22,0,2.34E-11,0,2.83E-16,3.33E-12
20,0.0008,-965543.1531,9.66E+05,1.87104296,3.21E-05,2.36E-10,684824.4286,0.22,0,2.34E-11,0,3.24E-16,3.78E-12
20,0.0009,-949595.0088,9.50E+05,2.10492333,3.61E-05,2.66E-10,684841.1673,0.22,0,2.34E-11,0,3.64E-16,4.23E-12
20,0.001,-935328.9076,9.35E+05,2.3388037,4.01E-05,2.95E-10,684857.8902,0.22,0,2.34E-11,0,4.05E-16,4.69E-12
20,0.0011,-922423.6493,9.22E+05,2.57268407,4.41E-05,3.24E-10,684874.5973,0.22,0,2.34E-11,0,4.45E-16,5.13E-12
20,0.0012,-910642.0715,9.11E+05,2.80656444,4.81E-05,3.53E-10,684891.2885,0.22,0,2.34E-11,0,4.86E-16,5.58E-12
20,0.0013,-899804.0705,9.00E+05,3.04044481,5.21E-05,3.82E-10,684907.964,0.22,0,2.34E-11,0,5.26E-16,6.03E-12
20,0.0014,-889769.6489,8.90E+05,3.27432518,5.60E-05,4.11E-10,684924.6238,0.22,0,2.34E-11,0,5.67E-16,6.47E-12
20,0.0015,-880427.8259,8.80E+05,3.50820555,6.00E-05,4.40E-10,684941.2678,0.22,0,2.34E-11,0,6.07E-16,6.92E-12
20,0.0016,-871689.1341,8.72E+05,3.74208592,6.40E-05,4.69E-10,684957.8961,0.22,0,2.34E-11,0,6.48E-16,7.36E-12
20,0.0017,-863480.395,8.63E+05,3.97596629,6.80E-05,4.98E-10,684974.5087,0.22,0,2.34E-11,0,6.88E-16,7.80E-12
20,0.0018,-855740.9898,8.56E+05,4.20984666,7.19E-05,5.27E-10,684991.1056,0.22,0,2.34E-11,0,7.29E-16,8.24E-12
20,0.0019,-848420.1406,8.48E+05,4.44372703,7.59E-05,5.56E-10,685007.6869,0.22,0,2.34E-11,0,7.69E-16,8.68E-12
20,0.002,-841474.8886,8.41E+05,4.6776074,7.98E-05,5.84E-10,685024.2526,0.22,0,2.34E-11,0,8.09E-16,9.11E-12
20,0.0021,-834868.5673,8.35E+05,4.91148777,8.38E-05,6.13E-10,685040.8027,0.22,0,2.34E-11,0,8.50E-16,9.55E-12
20,0.0022,-828569.6303,8.29E+05,5.14536814,8.78E-05,6.41E-10,685057.3372,0.22,0,2.34E-11,0,8.90E-16,9.98E-12
20,0.0023,-822550.7404,8.23E+05,5.37924851,9.17E-05,6.70E-10,685073.8561,0.22,0,2.34E-11,0,9.31E-16,1.04E-11
20,0.0024,-816788.0525,8.17E+05,5.61312888,9.56E-05,6.98E-10,685090.3595,0.22,0,2.34E-11,0,9.71E-16,1.09E-11
20,0.0025,-811260.6431,8.11E+05,5.84700925,9.96E-05,7.27E-10,685106.8474,0.22,0,2.34E-11,0,1.01E-15,1.13E-11
20,0.0026,-805950.0515,8.06E+05,6.08088962,0.000103515,7.55E-10,685123.3198,0.22,0,2.34E-11,0,1.05E-15,1.17E-11
20,0.0027,-800839.9082,8.01E+05,6.31476999,0.000107447,7.84E-10,685139.7768,0.22,0,2.34E-11,0,1.09E-15,1.22E-11
20,0.0028,-795915.6299,7.96E+05,6.54865036,0.000111374,8.12E-10,685156.2182,0.22,0,2.34E-11,0,1.13E-15,1.26E-11
20,0.0029,-791164.1695,7.91E+05,6.78253073,0.000115298,8.40E-10,685172.6443,0.22,0,2.34E-11,0,1.17E-15,1.30E-11
20,0.003,-786573.8069,7.87E+05,7.0164111,0.000119219,8.68E-10,685189.055,0.22,0,2.34E-11,0,1.21E-15,1.34E-11
20,0.0031,-782133.9755,7.82E+05,7.25029147,0.000123135,8.96E-10,685205.4502,0.22,0,2.34E-11,0,1.25E-15,1.39E-11
20,0.0032,-777835.1151,7.78E+05,7.48417184,0.000127048,9.24E-10,685221.8302,0.22,0,2.34E-11,0,1.30E-15,1.43E-11
20,0.0033,-773668.5486,7.74E+05,7.71805221,0.000130958,9.52E-10,685238.1947,0.22,0,2.34E-11,0,1.34E-15,1.47E-11
20,0.0034,-769626.376,7.70E+05,7.95193258,0.000134863,9.80E-10,685254.544,0.22,0,2.34E-11,0,1.38E-15,1.52E-11
20,0.0035,-765701.3844,7.66E+05,8.18581295,0.000138765,1.01E-09,685270.878,0.22,0,2.34E-11,0,1.42E-15,1.56E-11
20,0.0036,-761886.9708,7.62E+05,8.41969332,0.000142664,1.04E-09,685287.1966,0.22,0,2.34E-11,0,1.46E-15,1.60E-11
20,0.0037,-758177.075,7.58E+05,8.65357369,0.000146558,1.06E-09,685303.5001,0.22,0,2.34E-11,0,1.50E-15,1.64E-11
20,0.0038,-754566.1216,7.55E+05,8.88745406,0.000150449,1.09E-09,685319.7883,0.22,0,2.34E-11,0,1.54E-15,1.69E-11
20,0.0039,-751048.9699,7.51E+05,9.12133443,0.000154337,1.12E-09,685336.0613,0.22,0,2.34E-11,0,1.58E-15,1.73E-11
20,0.004,-747620.8696,7.48E+05,9.3552148,0.000158221,1.15E-09,685352.3191,0.22,0,2.34E-11,0,1.62E-15,1.77E-11
20,0.0041,-744277.4225,7.44E+05,9.58909517,0.000162101,1.17E-09,685368.5617,0.22,0,2.34E-11,0,1.66E-15,1.81E-11
20,0.0042,-741014.5483,7.41E+05,9.82297554,0.000165977,1.20E-09,685384.7892,0.22,0,2.34E-11,0,1.70E-15,1.86E-11
20,0.0043,-737828.4547,7.38E+05,10.05685591,0.00016985,1.23E-09,685401.0016,0.22,0,2.34E-11,0,1.74E-15,1.90E-11
20,0.0044,-734715.6113,7.35E+05,10.29073628,0.00017372,1.26E-09,685417.1989,0.22,0,2.34E-11,0,1.78E-15,1.94E-11
20,0.0045,-731672.7253,7.32E+05,10.52461665,0.000177585,1.28E-09,685433.3811,0.22,0,2.34E-11,0,1.82E-15,1.98E-11
20,0.0046,-728696.7214,7.29E+05,10.75849702,0.000181447,1.31E-09,685449.5482,0.22,0,2.34E-11,0,1.86E-15,2.02E-11
20,0.0047,-725784.7225,7.26E+05,10.99237739,0.000185306,1.34E-09,685465.7003,0.22,0,2.34E-11,0,1.90E-15,2.07E-11
20,0.0048,-722934.0335,7.23E+05,11.22625776,0.000189161,1.37E-09,685481.8373,0.22,0,2.34E-11,0,1.94E-15,2.11E-11
