temp,rh,miu,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg,Å[miu
20,0.0001,-1.25E+06,0.23388037,1.16E-05,8.59E-11,1.03E+06,0.113003652,0,1.40E-12,0,2.42E-18,3.06E-14,1.25E+06
20,0.0002,-1.15E+06,0.46776074,2.33E-05,1.72E-10,1.03E+06,0.113007304,0,1.40E-12,0,4.84E-18,5.96E-14,1.15E+06
20,0.0003,-1.10E+06,0.70164111,3.49E-05,2.58E-10,1.03E+06,0.113010955,0,1.40E-12,0,7.25E-18,8.80E-14,1.10E+06
20,0.0004,-1.06E+06,0.93552148,4.65E-05,3.44E-10,1.03E+06,0.113014607,0,1.40E-12,0,9.67E-18,1.16E-13,1.06E+06
20,0.0005,-1.03E+06,1.16940185,5.82E-05,4.29E-10,1.03E+06,0.113018259,0,1.40E-12,0,1.21E-17,1.44E-13,1.03E+06
20,0.0006,-1.00E+06,1.40328222,6.98E-05,5.15E-10,1.03E+06,0.113021911,0,1.40E-12,0,1.45E-17,1.71E-13,1.00E+06
20,0.0007,-983623.6679,1.63716259,8.14E-05,6.01E-10,1.03E+06,0.113025563,0,1.40E-12,0,1.69E-17,1.99E-13,9.84E+05
20,0.0008,-965543.1531,1.87104296,9.30E-05,6.87E-10,1.03E+06,0.113029215,0,1.40E-12,0,1.93E-17,2.26E-13,9.66E+05
20,0.0009,-949595.0088,2.10492333,0.00010467,7.73E-10,1.03E+06,0.113032866,0,1.40E-12,0,2.18E-17,2.53E-13,9.50E+05
20,0.001,-935328.9076,2.3388037,0.0001163,8.59E-10,1.03E+06,0.113036518,0,1.40E-12,0,2.42E-17,2.80E-13,9.35E+05
20,0.0011,-922423.6493,2.57268407,0.00012793,9.45E-10,1.03E+06,0.11304017,0,1.40E-12,0,2.66E-17,3.07E-13,9.22E+05
20,0.0012,-910642.0715,2.80656444,0.00013956,1.03E-09,1.03E+06,0.113043822,0,1.40E-12,0,2.90E-17,3.34E-13,9.11E+05
20,0.0013,-899804.0705,3.04044481,0.00015119,1.12E-09,1.03E+06,0.113047474,0,1.40E-12,0,3.14E-17,3.60E-13,9.00E+05
20,0.0014,-889769.6489,3.27432518,0.00016282,1.20E-09,1.03E+06,0.113051125,0,1.40E-12,0,3.39E-17,3.87E-13,8.90E+05
20,0.0015,-880427.8259,3.50820555,0.00017445,1.29E-09,1.03E+06,0.113054777,0,1.40E-12,0,3.63E-17,4.13E-13,8.80E+05
20,0.0016,-871689.1341,3.74208592,0.00018608,1.37E-09,1.03E+06,0.113058429,0,1.40E-12,0,3.87E-17,4.40E-13,8.72E+05
20,0.0017,-863480.395,3.97596629,0.00019771,1.46E-09,1.03E+06,0.113062081,0,1.40E-12,0,4.11E-17,4.66E-13,8.63E+05
20,0.0018,-855740.9898,4.20984666,0.00020934,1.55E-09,1.03E+06,0.113065733,0,1.40E-12,0,4.35E-17,4.92E-13,8.56E+05
20,0.0019,-848420.1406,4.44372703,0.00022097,1.63E-09,1.03E+06,0.113069385,0,1.40E-12,0,4.59E-17,5.18E-13,8.48E+05
20,0.002,-841474.8886,4.6776074,0.0002326,1.72E-09,1.03E+06,0.113073036,0,1.40E-12,0,4.84E-17,5.44E-13,8.41E+05
20,0.0021,-834868.5673,4.91148777,0.00024423,1.80E-09,1.04E+06,0.113076688,0,1.40E-12,0,5.08E-17,5.71E-13,8.35E+05
20,0.0022,-828569.6303,5.14536814,0.00025586,1.89E-09,1.04E+06,0.11308034,0,1.40E-12,0,5.32E-17,5.97E-13,8.29E+05
20,0.0023,-822550.7404,5.37924851,0.00026749,1.98E-09,1.04E+06,0.113083992,0,1.40E-12,0,5.56E-17,6.23E-13,8.23E+05
20,0.0024,-816788.0525,5.61312888,0.00027912,2.06E-09,1.04E+06,0.113087644,0,1.40E-12,0,5.80E-17,6.48E-13,8.17E+05
20,0.0025,-811260.6431,5.84700925,0.00029075,2.15E-09,1.04E+06,0.113091296,0,1.40E-12,0,6.05E-17,6.74E-13,8.11E+05
20,0.0026,-805950.0515,6.08088962,0.00030238,2.23E-09,1.04E+06,0.113094947,0,1.40E-12,0,6.29E-17,7.00E-13,8.06E+05
20,0.0027,-800839.9082,6.31476999,0.00031401,2.32E-09,1.04E+06,0.113098599,0,1.40E-12,0,6.53E-17,7.26E-13,8.01E+05
20,0.0028,-795915.6299,6.54865036,0.00032564,2.40E-09,1.04E+06,0.113102251,0,1.40E-12,0,6.77E-17,7.52E-13,7.96E+05
20,0.0029,-791164.1695,6.78253073,0.00033727,2.49E-09,1.04E+06,0.113105903,0,1.40E-12,0,7.01E-17,7.77E-13,7.91E+05
20,0.003,-786573.8069,7.0164111,0.0003489,2.58E-09,1.04E+06,0.113109555,0,1.40E-12,0,7.25E-17,8.03E-13,7.87E+05
