,room1,room1,room1,room2,room2,room2
 ,temp,rh,ah,temp,rh,ah
2022/4/1 0:00,9.4,0.89,0.00651,24.979,0.5,0.00987
2022/4/1 0:10,9.4,0.886,0.00648,21.519,0.523,0.00836
2022/4/1 0:20,9.4,0.881,0.00644,21.272,0.544,0.00856
2022/4/1 0:30,9.4,0.876,0.0064,21.182,0.549,0.00859
2022/4/1 0:40,9.4,0.87,0.00637,21.12,0.55,0.00858
2022/4/1 0:50,9.4,0.865,0.00633,21.065,0.55,0.00854
2022/4/1 1:00,9.4,0.86,0.00629,21.007,0.549,0.00851
2022/4/1 1:10,9.34,0.859,0.00625,20.941,0.549,0.00846
2022/4/1 1:20,9.273,0.857,0.00621,20.864,0.548,0.00841
2022/4/1 1:30,9.207,0.855,0.00617,20.778,0.547,0.00836
2022/4/1 1:40,9.14,0.854,0.00613,20.682,0.547,0.0083
2022/4/1 1:50,9.073,0.852,0.00609,20.576,0.546,0.00823
2022/4/1 2:00,9.007,0.85,0.00605,20.461,0.545,0.00816
2022/4/1 2:10,8.985,0.838,0.00596,20.339,0.545,0.00809
2022/4/1 2:20,8.968,0.825,0.00586,20.211,0.544,0.00801
2022/4/1 2:30,8.952,0.811,0.00575,20.075,0.543,0.00793
2022/4/1 2:40,8.935,0.798,0.00565,19.934,0.541,0.00784
2022/4/1 2:50,8.918,0.785,0.00555,19.788,0.54,0.00775
2022/4/1 3:00,8.902,0.771,0.00545,19.639,0.539,0.00766
2022/4/1 3:10,8.885,0.746,0.00526,19.484,0.538,0.00757
2022/4/1 3:20,8.868,0.72,0.00507,19.326,0.536,0.00747
2022/4/1 3:30,8.852,0.693,0.00487,19.165,0.534,0.00737
2022/4/1 3:40,8.835,0.666,0.00468,19.002,0.533,0.00727
2022/4/1 3:50,8.818,0.639,0.00448,18.836,0.531,0.00717
2022/4/1 4:00,8.802,0.613,0.00429,18.67,0.529,0.00707
2022/4/1 4:10,8.785,0.6,0.00419,18.504,0.527,0.00697
2022/4/1 4:20,8.768,0.588,0.00411,18.339,0.526,0.00688
2022/4/1 4:30,8.752,0.576,0.00402,18.175,0.525,0.00679
2022/4/1 4:40,8.735,0.565,0.00393,18.011,0.523,0.00671
2022/4/1 4:50,8.718,0.553,0.00385,17.848,0.522,0.00662
2022/4/1 5:00,8.702,0.541,0.00376,17.686,0.521,0.00654
2022/4/1 5:10,8.685,0.528,0.00366,17.524,0.52,0.00646
2022/4/1 5:20,8.668,0.515,0.00357,17.363,0.518,0.00637
