,climate,climate,climate,climate,wall1,wall1,wall1,wall1,wall2,wall2,wall2,wall2,wall3,wall3,wall3,wall3,wall4,wall4,wall4,wall4,wall5,wall5,wall5,wall5,wall6,wall6,wall6,wall6,indoor,indoor,indoor,indoor,
 ,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,
2022/04/01 00:00,9.4,0.89,0.00651,Error,21.993,0.55,0.00906,0.04893,22.0,0.55,0.00906,0.04893,22.0,0.55,0.00906,0.04893,22.0,0.55,0.00906,0.04893,22.0,0.55,0.00906,0.04893,22.001,0.55,0.00906,0.04893,24.539,0.495,0.00952,Error,
2022/04/01 00:10,9.4,0.886,0.00648,Error,18.644,0.544,0.00726,0.0487,21.605,0.55,0.00883,0.04893,21.968,0.55,0.00904,0.04893,21.985,0.55,0.00905,0.04893,21.829,0.55,0.00896,0.04893,20.436,0.545,0.00814,0.04862,11.284,0.796,0.0066,Error,
2022/04/01 00:20,9.4,0.881,0.00644,Error,17.081,0.541,0.00654,0.04864,20.913,0.549,0.00845,0.04893,21.823,0.55,0.00896,0.04893,21.904,0.55,0.009,0.04893,21.48,0.549,0.00876,0.04893,19.513,0.542,0.00764,0.04842,11.133,0.795,0.00653,Error,
2022/04/01 00:30,9.4,0.876,0.0064,Error,16.211,0.541,0.00618,0.04865,20.23,0.548,0.00808,0.04893,21.576,0.55,0.00882,0.04893,21.743,0.55,0.00891,0.04893,21.104,0.549,0.00855,0.04893,18.929,0.54,0.00733,0.04827,11.037,0.793,0.00647,Error,
2022/04/01 00:40,9.4,0.87,0.00637,Error,15.64,0.54,0.00595,0.0487,19.622,0.547,0.00777,0.04893,21.262,0.549,0.00864,0.04893,21.518,0.549,0.00878,0.04893,20.741,0.549,0.00836,0.04893,18.51,0.538,0.00712,0.04815,10.968,0.791,0.00642,Error,
2022/04/01 00:50,9.4,0.865,0.00633,Error,15.217,0.541,0.00579,0.04878,19.09,0.547,0.00751,0.04893,20.912,0.549,0.00845,0.04893,21.248,0.549,0.00863,0.04893,20.399,0.548,0.00817,0.04893,18.178,0.537,0.00695,0.04805,10.914,0.788,0.00638,Error,
2022/04/01 01:00,9.4,0.86,0.00629,Error,14.877,0.541,0.00567,0.04887,18.621,0.546,0.00728,0.04893,20.546,0.548,0.00825,0.04893,20.948,0.549,0.00847,0.04893,20.074,0.548,0.008,0.04893,17.895,0.535,0.00681,0.04797,10.868,0.785,0.00633,Error,
2022/04/01 01:10,9.34,0.859,0.00625,Error,14.58,0.542,0.00557,0.04897,18.202,0.546,0.00708,0.04893,20.176,0.548,0.00806,0.04893,20.632,0.548,0.0083,0.04893,19.764,0.547,0.00784,0.04893,17.638,0.534,0.00669,0.0479,10.777,0.784,0.00629,Error,
2022/04/01 01:20,9.273,0.857,0.00621,Error,14.308,0.543,0.00548,0.04908,17.818,0.545,0.00691,0.04893,19.81,0.548,0.00787,0.04893,20.308,0.548,0.00813,0.04893,19.463,0.547,0.00769,0.04893,17.393,0.534,0.00658,0.04785,10.681,0.783,0.00624,Error,
2022/04/01 01:30,9.207,0.855,0.00617,Error,14.056,0.544,0.0054,0.04919,17.462,0.545,0.00675,0.04893,19.451,0.547,0.00769,0.04893,19.982,0.548,0.00796,0.04893,19.17,0.547,0.00755,0.04893,17.157,0.533,0.00647,0.0478,10.587,0.782,0.0062,Error,
2022/04/01 01:40,9.14,0.854,0.00613,Error,13.82,0.545,0.00533,0.04931,17.128,0.545,0.0066,0.04893,19.102,0.547,0.00751,0.04893,19.657,0.547,0.00779,0.04893,18.882,0.546,0.00741,0.04893,16.928,0.532,0.00637,0.04776,10.494,0.782,0.00615,Error,
2022/04/01 01:50,9.073,0.852,0.00609,Error,13.596,0.546,0.00526,0.04944,16.812,0.544,0.00646,0.04893,18.763,0.546,0.00735,0.04893,19.336,0.547,0.00763,0.04893,18.599,0.546,0.00727,0.04893,16.703,0.532,0.00627,0.04774,10.401,0.781,0.00611,Error,
2022/04/01 02:00,9.007,0.85,0.00605,Error,13.383,0.547,0.0052,0.04957,16.512,0.544,0.00634,0.04893,18.434,0.546,0.00719,0.04893,19.021,0.547,0.00747,0.04893,18.32,0.546,0.00714,0.04893,16.481,0.531,0.00617,0.04771,10.309,0.78,0.00606,Error,
2022/04/01 02:10,8.985,0.838,0.00596,Error,13.18,0.548,0.00514,0.0497,16.225,0.543,0.00622,0.04893,18.115,0.546,0.00704,0.04893,18.711,0.546,0.00732,0.04893,18.047,0.546,0.00701,0.04893,16.263,0.531,0.00608,0.0477,10.25,0.771,0.00597,Error,
2022/04/01 02:20,8.968,0.825,0.00586,Error,12.987,0.549,0.00508,0.04982,15.95,0.543,0.0061,0.04893,17.805,0.545,0.0069,0.04893,18.408,0.546,0.00718,0.04893,17.778,0.545,0.00689,0.04893,16.045,0.53,0.00599,0.04768,10.198,0.761,0.00587,Error,
2022/04/01 02:30,8.952,0.811,0.00575,Error,12.802,0.55,0.00503,0.04993,15.685,0.543,0.006,0.04893,17.506,0.545,0.00677,0.04893,18.112,0.546,0.00704,0.04893,17.513,0.545,0.00677,0.04893,15.831,0.53,0.00591,0.04766,10.147,0.751,0.00577,Error,
2022/04/01 02:40,8.935,0.798,0.00565,Error,12.623,0.551,0.00498,0.05004,15.431,0.543,0.0059,0.04893,17.216,0.545,0.00664,0.04893,17.823,0.545,0.00691,0.04893,17.253,0.545,0.00665,0.04893,15.618,0.529,0.00582,0.04764,10.096,0.74,0.00567,Error,
2022/04/01 02:50,8.918,0.785,0.00555,Error,12.45,0.551,0.00493,0.05014,15.186,0.542,0.0058,0.04893,16.934,0.544,0.00652,0.04893,17.541,0.545,0.00678,0.04893,16.998,0.544,0.00654,0.04893,15.409,0.529,0.00574,0.04761,10.045,0.73,0.00557,Error,
2022/04/01 03:00,8.902,0.771,0.00545,Error,12.283,0.552,0.00488,0.05023,14.95,0.542,0.00571,0.04893,16.661,0.544,0.0064,0.04893,17.265,0.545,0.00666,0.04893,16.747,0.544,0.00644,0.04893,15.203,0.528,0.00565,0.04758,9.994,0.719,0.00546,Error,
2022/04/01 03:10,8.885,0.746,0.00526,Error,12.114,0.553,0.00483,0.05031,14.72,0.542,0.00562,0.04893,16.396,0.544,0.00629,0.04893,16.996,0.544,0.00654,0.04893,16.5,0.544,0.00633,0.04893,14.994,0.528,0.00557,0.04755,9.939,0.699,0.00529,Error,
